ID	CONCEPT	DOCULECT	COUNTERPART	TOKENS
7750	(2Pl alienable possessor, all forms)	Tiranige	ɛ̀wɛ́	ɛ̀ w ɛ́
7751	(2Pl alienable possessor, all forms)	Tiranige	ɛ̀wɛ̀	ɛ̀ w ɛ̀
7732	(2Pl all-purpose possessor)	Toro_Tegu	á	á
7733	(2Pl all-purpose possessor)	Ben_Tey	û:	ûː
7734	(2Pl all-purpose possessor)	Togo_Kan	é	é
7735	(2Pl all-purpose possessor)	Tomo_Kan_Segue	è	è
7736	(2Pl all-purpose possessor)	Najamba	é	é
7737	(2Pl all-purpose possessor)	Najamba	ɛ́ yɛ̀	ɛ́ # j ɛ̀
7738	(2Pl all-purpose possessor)	Najamba	ɛ́ bɔ̀	ɛ́ # b ɔ̀
7739	(2Pl all-purpose possessor)	Ampari	é	é
7740	(2Pl all-purpose possessor)	Bunoge	á	á
7741	(2Pl all-purpose possessor)	Penange	àbè	à b è
7752	(2Pl inalienable possessor)	Nanga	û:	ûː
7753	(2Pl inalienable possessor)	Jamsay_Douentza	è	è
7754	(2Pl inalienable possessor)	Perge_Tegu	è	è
7755	(2Pl inalienable possessor)	Yorno_So	é	é
7756	(2Pl inalienable possessor)	Tebul_Ure	bí	b í
7757	(2Pl inalienable possessor)	Yanda_Dom	wò	w ò
7758	(2Pl inalienable possessor)	Tiranige	è	è
7494	(2Pl independent pronoun)	Toro_Tegu	á	á
7495	(2Pl independent pronoun)	Ben_Tey	û:	ûː
7496	(2Pl independent pronoun)	Nanga	û:	ûː
7497	(2Pl independent pronoun)	Jamsay_Douentza	é	é
7498	(2Pl independent pronoun)	Perge_Tegu	é	é
7499	(2Pl independent pronoun)	Togo_Kan	é	é
7500	(2Pl independent pronoun)	Yorno_So	é	é
7501	(2Pl independent pronoun)	Tomo_Kan_Segue	é	é
7502	(2Pl independent pronoun)	Tebul_Ure	bí	b í
7503	(2Pl independent pronoun)	Yanda_Dom	wó	w ó
7504	(2Pl independent pronoun)	Najamba	é	é
7505	(2Pl independent pronoun)	Tiranige	éwⁿ	é wⁿ
7506	(2Pl independent pronoun)	Tiranige	è	è
7507	(2Pl independent pronoun)	Ampari	é	é
7508	(2Pl independent pronoun)	Bunoge	òyá	ò j á
7509	(2Pl independent pronoun)	Penange	ábé	á b é
7611	(2Pl subject pronominal)	Toro_Tegu	á	á
7612	(2Pl subject pronominal)	Ben_Tey	ẁ∴	ẁ
7613	(2Pl subject pronominal)	Nanga	ẁ∴	ẁ
7614	(2Pl subject pronominal)	Jamsay_Douentza	bè	b è
7615	(2Pl subject pronominal)	Perge_Tegu	bè	b è
7616	(2Pl subject pronominal)	Togo_Kan	é	é
7617	(2Pl subject pronominal)	Yorno_So	y	j
7618	(2Pl subject pronominal)	Tomo_Kan_Segue	è	è
7619	(2Pl subject pronominal)	Tebul_Ure	yⁿ	jⁿ
7620	(2Pl subject pronominal)	Yanda_Dom	y	j
7621	(2Pl subject pronominal)	Najamba	ɛ:	ɛː
7622	(2Pl subject pronominal)	Najamba	e:	eː
7623	(2Pl subject pronominal)	Tiranige	é	é
7624	(2Pl subject pronominal)	Tiranige	è	è
7625	(2Pl subject pronominal)	Ampari	è	è
7626	(2Pl subject pronominal)	Bunoge	á	á
7627	(2Pl subject pronominal)	Penange	à	à
7687	(2Sg alienable possessor, all forms)	Nanga	ú yɛ̂	ú # j ɛ̂
7688	(2Sg alienable possessor, all forms)	Nanga	ú gɔ̀	ú # ɡ ɔ̀
7689	(2Sg alienable possessor, all forms)	Jamsay_Douentza	ú	ú
7690	(2Sg alienable possessor, all forms)	Perge_Tegu	ú	ú
7691	(2Sg alienable possessor, all forms)	Yorno_So	ɔ̀:	ɔ̀ː
7692	(2Sg alienable possessor, all forms)	Tebul_Ure	úwɔ̀	ú w ɔ̀
7693	(2Sg alienable possessor, all forms)	Tebul_Ure	úwɔ̀mbɔ̀	ú w ɔ̀ m b ɔ̀
7694	(2Sg alienable possessor, all forms)	Yanda_Dom	ɔ́yⁿɛ̀	ɔ́ jⁿ ɛ̀
7695	(2Sg alienable possessor, all forms)	Tiranige	ɔ̀wɛ́	ɔ̀ w ɛ́
7696	(2Sg alienable possessor, all forms)	Tiranige	ɔ̀wɛ̀	ɔ̀ w ɛ̀
7676	(2Sg all-purpose possessor)	Toro_Tegu	ú	ú
7677	(2Sg all-purpose possessor)	Ben_Tey	ú	ú
7678	(2Sg all-purpose possessor)	Togo_Kan	ú	ú
7679	(2Sg all-purpose possessor)	Tomo_Kan_Segue	à	à
7680	(2Sg all-purpose possessor)	Najamba	ó	ó
7681	(2Sg all-purpose possessor)	Najamba	ɔ́ yɛ̀	ɔ́ # j ɛ̀
7682	(2Sg all-purpose possessor)	Najamba	ɔ́ bɔ̀	ɔ́ # b ɔ̀
7683	(2Sg all-purpose possessor)	Ampari	ó	ó
7684	(2Sg all-purpose possessor)	Bunoge	à	à
7685	(2Sg all-purpose possessor)	Penange	á	á
7686	(2Sg all-purpose possessor)	Penange	à	à
7697	(2Sg inalienable possessor)	Nanga	ú	ú
7698	(2Sg inalienable possessor)	Jamsay_Douentza	ù	ù
7699	(2Sg inalienable possessor)	Perge_Tegu	ù	ù
7700	(2Sg inalienable possessor)	Yorno_So	ú	ú
7701	(2Sg inalienable possessor)	Tebul_Ure	ú	ú
7702	(2Sg inalienable possessor)	Yanda_Dom	ó	ó
7703	(2Sg inalienable possessor)	Tiranige	ò	ò
7454	(2Sg independent pronoun)	Toro_Tegu	ú	ú
7455	(2Sg independent pronoun)	Bangime	à	à
7456	(2Sg independent pronoun)	Sangha_So	ú	ú
7457	(2Sg independent pronoun)	Ben_Tey	ú	ú
7458	(2Sg independent pronoun)	Bankan_Tey	ú	ú
7459	(2Sg independent pronoun)	Nanga	ú	ú
7460	(2Sg independent pronoun)	Jamsay_Douentza	ú	ú
7461	(2Sg independent pronoun)	Perge_Tegu	ú	ú
7462	(2Sg independent pronoun)	Jamsay_Mondoro	í	í
7463	(2Sg independent pronoun)	Togo_Kan	ú	ú
7464	(2Sg independent pronoun)	Yorno_So	ú	ú
7465	(2Sg independent pronoun)	Tomo_Kan_Segue	á	á
7466	(2Sg independent pronoun)	Tomo_Kan_Diangassagou	á	á
7467	(2Sg independent pronoun)	Tommo_So	ú	ú
7468	(2Sg independent pronoun)	Dogul_Dom	ó	ó
7469	(2Sg independent pronoun)	Tebul_Ure	ú	ú
7470	(2Sg independent pronoun)	Yanda_Dom	ó	ó
7471	(2Sg independent pronoun)	Najamba	ó	ó
7472	(2Sg independent pronoun)	Tiranige	ó:	óː
7473	(2Sg independent pronoun)	Tiranige	ò	ò
7474	(2Sg independent pronoun)	Mombo	ó:	óː
7475	(2Sg independent pronoun)	Ampari	ó	ó
7476	(2Sg independent pronoun)	Bunoge	ò	ò
7477	(2Sg independent pronoun)	Penange	ó	ó
7595	(2Sg subject pronominal)	Toro_Tegu	ú	ú
7596	(2Sg subject pronominal)	Ben_Tey	ẁ	ẁ
7597	(2Sg subject pronominal)	Nanga	ẁ	ẁ
7598	(2Sg subject pronominal)	Jamsay_Douentza	w	w
7599	(2Sg subject pronominal)	Perge_Tegu	w	w
7600	(2Sg subject pronominal)	Togo_Kan	ú	ú
7601	(2Sg subject pronominal)	Yorno_So	w	w
7602	(2Sg subject pronominal)	Tomo_Kan_Segue	à	à
7603	(2Sg subject pronominal)	Tebul_Ure	wⁿ	wⁿ
7604	(2Sg subject pronominal)	Yanda_Dom	w	w
7605	(2Sg subject pronominal)	Najamba	ɔ:	ɔː
7606	(2Sg subject pronominal)	Najamba	o:	oː
7607	(2Sg subject pronominal)	Tiranige	w	w
7608	(2Sg subject pronominal)	Ampari	ò	ò
7609	(2Sg subject pronominal)	Bunoge	à	à
7610	(2Sg subject pronominal)	Penange	á	á
7793	(3Pl all-purpose alienable possessor)	Nanga	bû: yɛ̀	b ûː # j ɛ̀
7794	(3Pl all-purpose alienable possessor)	Nanga	bû: gɔ̀	b ûː # ɡ ɔ̀
7795	(3Pl all-purpose alienable possessor)	Jamsay_Douentza	bé	b é
7796	(3Pl all-purpose alienable possessor)	Tebul_Ure	búgɔ̀	b ú ɡ ɔ̀
7797	(3Pl all-purpose alienable possessor)	Tebul_Ure	búgɔ̀mbɔ̀	b ú ɡ ɔ̀ m b ɔ̀
7798	(3Pl all-purpose alienable possessor)	Yanda_Dom	bwɛ̂:ⁿ	b w ɛ̂ːⁿ
7799	(3Pl all-purpose alienable possessor)	Tiranige	cɛ̀wɛ́	tʃ ɛ̀ w ɛ́
7800	(3Pl all-purpose inalienable possessor)	Nanga	bû:	b ûː
7801	(3Pl all-purpose inalienable possessor)	Jamsay_Douentza	bè	b è
7802	(3Pl all-purpose inalienable possessor)	Tebul_Ure	bú	b ú
7803	(3Pl all-purpose inalienable possessor)	Yanda_Dom	bò	b ò
7804	(3Pl all-purpose inalienable possessor)	Tiranige	cè	tʃ è
7543	(3Pl all-purpose independent pronoun)	Yanda_Dom	bó	b ó
7544	(3Pl all-purpose independent pronoun)	Tiranige	céwⁿ	tʃ é wⁿ
7545	(3Pl all-purpose independent pronoun)	Tiranige	cè	tʃ è
7546	(3Pl all-purpose independent pronoun)	Ampari	ké	k é
7547	(3Pl all-purpose independent pronoun)	Bunoge	àyⁿá	à jⁿ á
7548	(3Pl all-purpose independent pronoun)	Penange	ŋké	ŋ k é
7789	(3Pl all-purpose possessor)	Togo_Kan	bé	b é
7790	(3Pl all-purpose possessor)	Tomo_Kan_Segue	bò	b ò
7791	(3Pl all-purpose possessor)	Ampari	kè	k è
7792	(3Pl all-purpose possessor)	Bunoge	âŋ	â ŋ
7634	(3Pl all-purpose subject pronominal)	Tomo_Kan_Segue	ɛ:	ɛː
7555	(3Pl animate [including human] pronoun)	Ben_Tey	bû:	b ûː
7556	(3Pl animate [including human] pronoun)	Nanga	bû:	b ûː
7557	(3Pl animate [including human] pronoun)	Tebul_Ure	bú	b ú
7558	(3Pl animate [including human] pronoun)	Najamba	bé	b é
7810	(3Pl animate all-purpose possessor)	Ben_Tey	bû:	b ûː
7811	(3Pl animate all-purpose possessor)	Najamba	bé	b é
7812	(3Pl animate all-purpose possessor)	Najamba	bɛ́ yɛ̀	b ɛ́ # j ɛ̀
7813	(3Pl animate all-purpose possessor)	Najamba	bɛ́ bɔ̀	b ɛ́ # b ɔ̀
7806	(3Pl human alienable possessor, all forms)	Perge_Tegu	bé	b é
7807	(3Pl human alienable possessor, all forms)	Yorno_So	bèmɛ̀	b è m ɛ̀
7805	(3Pl human all-purpose possessor)	Toro_Tegu	bɛ̀	b ɛ̀
7808	(3Pl human inalienable possessor)	Perge_Tegu	bè	b è
7809	(3Pl human inalienable possessor)	Yorno_So	bé	b é
7549	(3Pl human pronoun)	Toro_Tegu	bé	b é
7550	(3Pl human pronoun)	Jamsay_Douentza	bé	b é
7551	(3Pl human pronoun)	Perge_Tegu	bé	b é
7552	(3Pl human pronoun)	Togo_Kan	bé	b é
7553	(3Pl human pronoun)	Yorno_So	bé	b é
7554	(3Pl human pronoun)	Tomo_Kan_Segue	bó	b ó
7635	(3Pl human subject pronominal)	Toro_Tegu	=bɛ́	b ɛ́
7636	(3Pl human subject pronominal)	Jamsay_Douentza	ba	b a
7637	(3Pl human subject pronominal)	Perge_Tegu	bɔ̀	b ɔ̀
7638	(3Pl human subject pronominal)	Togo_Kan	bé	b é
7639	(3Pl inanimate (subject pronominal)	Toro_Tegu	=cɛ́	tʃ ɛ́
7640	(3Pl inanimate (subject pronominal)	Toro_Tegu	=kɛ́	k ɛ́
7814	(3Pl inanimate all-purpose possessor)	Toro_Tegu	cɛ̀	tʃ ɛ̀
7815	(3Pl inanimate all-purpose possessor)	Toro_Tegu	kɛ̀	k ɛ̀
7816	(3Pl inanimate all-purpose possessor)	Najamba	ké	k é
7559	(3Pl inanimate pronoun)	Toro_Tegu	cé	tʃ é
7560	(3Pl inanimate pronoun)	Toro_Tegu	ké	k é
7561	(3Pl inanimate pronoun)	Nanga	kû:	k ûː
7562	(3Pl inanimate pronoun)	Tomo_Kan_Segue	kó wé	k ó # w é
7563	(3Pl inanimate pronoun)	Tebul_Ure	yí	j í
7564	(3Pl inanimate pronoun)	Najamba	ké	k é
7764	(3Sg all-purpose alienable possessor)	Tebul_Ure	kɔ̀ń	k ɔ̀ ń
7765	(3Sg all-purpose alienable possessor)	Yanda_Dom	nɛ̂:ⁿ	n ɛ̂ːⁿ
7766	(3Sg all-purpose alienable possessor)	Tiranige	nɛ̀wɛ́	n ɛ̀ w ɛ́
7767	(3Sg all-purpose inalienable possessor)	Tebul_Ure	ń	ń
7768	(3Sg all-purpose inalienable possessor)	Yanda_Dom	nà	n à
7769	(3Sg all-purpose inalienable possessor)	Tiranige	nà	n à
7510	(3Sg all-purpose independent pronoun)	Bangime	mì	m ì
7511	(3Sg all-purpose independent pronoun)	Sangha_So	wó	w ó
7512	(3Sg all-purpose independent pronoun)	Bankan_Tey	ɛ́rⁿɛ́	ɛ́ rⁿ ɛ́
7513	(3Sg all-purpose independent pronoun)	Jamsay_Mondoro	ú	ú
7514	(3Sg all-purpose independent pronoun)	Tommo_So	wó	w ó
7515	(3Sg all-purpose independent pronoun)	Dogul_Dom	í	í
7516	(3Sg all-purpose independent pronoun)	Yanda_Dom	ná	n á
7517	(3Sg all-purpose independent pronoun)	Mombo	ɛ́:	ɛ́ː
7518	(3Sg all-purpose independent pronoun)	Ampari	á	á
7519	(3Sg all-purpose independent pronoun)	Bunoge	ǎwⁿ	ǎ wⁿ
7520	(3Sg all-purpose independent pronoun)	Penange	ɔ̀nɔ̀	ɔ̀ n ɔ̀
7759	(3Sg all-purpose possessor)	Nanga	nɔ̀	n ɔ̀
7760	(3Sg all-purpose possessor)	Ampari	nà	n à
7761	(3Sg all-purpose possessor)	Bunoge	nà	n à
7762	(3Sg all-purpose possessor)	Penange	ná	n á
7763	(3Sg all-purpose possessor)	Penange	nà	n à
7628	(3Sg all-purpose subject pronominal)	Ampari	á	á
7529	(3Sg animate [including human] pronoun)	Ben_Tey	ɛ́rⁿɛ́	ɛ́ rⁿ ɛ́
7530	(3Sg animate [including human] pronoun)	Nanga	ńnɛ́	ń n ɛ́
7531	(3Sg animate [including human] pronoun)	Tebul_Ure	ńnè	ń n è
7532	(3Sg animate [including human] pronoun)	Najamba	mó	m ó
7779	(3Sg animate all-purpose possessor)	Ben_Tey	ɛ́rⁿɛ́	ɛ́ rⁿ ɛ́
7780	(3Sg animate all-purpose possessor)	Najamba	mó	m ó
7781	(3Sg animate all-purpose possessor)	Najamba	mɔ́ yɛ̀	m ɔ́ # j ɛ̀
7782	(3Sg animate all-purpose possessor)	Najamba	mɔ́ bɔ̀	m ɔ́ # b ɔ̀
7773	(3Sg human alienable possessor, all forms)	Jamsay_Douentza	wó	w ó
7774	(3Sg human alienable possessor, all forms)	Perge_Tegu	wó	w ó
7775	(3Sg human alienable possessor, all forms)	Yorno_So	wòmɔ̀	w ò m ɔ̀
7770	(3Sg human all-purpose possessor)	Toro_Tegu	wɔ̀	w ɔ̀
7771	(3Sg human all-purpose possessor)	Togo_Kan	wó	w ó
7772	(3Sg human all-purpose possessor)	Tomo_Kan_Segue	wò	w ò
7776	(3Sg human inalienable possessor)	Jamsay_Douentza	wò	w ò
7777	(3Sg human inalienable possessor)	Perge_Tegu	wò	w ò
7778	(3Sg human inalienable possessor)	Yorno_So	wó	w ó
7521	(3Sg human pronoun)	Toro_Tegu	wó	w ó
7522	(3Sg human pronoun)	Jamsay_Douentza	wó	w ó
7523	(3Sg human pronoun)	Perge_Tegu	wó	w ó
7524	(3Sg human pronoun)	Togo_Kan	wó	w ó
7525	(3Sg human pronoun)	Yorno_So	wó	w ó
7526	(3Sg human pronoun)	Tomo_Kan_Segue	wó	w ó
7527	(3Sg human pronoun)	Tiranige	náwⁿ	n á wⁿ
7528	(3Sg human pronoun)	Tiranige	nà	n à
7629	(3Sg human subject pronominal)	Toro_Tegu	wɔ́	w ɔ́
7630	(3Sg human subject pronominal)	Togo_Kan	wó	w ó
7787	(3Sg inanimate alienable possessor, all forms)	Jamsay_Douentza	kó	k ó
7783	(3Sg inanimate all-purpose possessor)	Toro_Tegu	kɔ̀	k ɔ̀
7784	(3Sg inanimate all-purpose possessor)	Ben_Tey	kú	k ú
7785	(3Sg inanimate all-purpose possessor)	Tomo_Kan_Segue	kò	k ò
7786	(3Sg inanimate all-purpose possessor)	Najamba	kó	k ó
7788	(3Sg inanimate inalienable possessor)	Jamsay_Douentza	kò	k ò
7533	(3Sg inanimate pronoun)	Toro_Tegu	kó	k ó
7534	(3Sg inanimate pronoun)	Ben_Tey	kú	k ú
7535	(3Sg inanimate pronoun)	Nanga	kú	k ú
7536	(3Sg inanimate pronoun)	Jamsay_Douentza	kɔ́	k ɔ́
7537	(3Sg inanimate pronoun)	Perge_Tegu	kó	k ó
7538	(3Sg inanimate pronoun)	Togo_Kan	kó	k ó
7539	(3Sg inanimate pronoun)	Tomo_Kan_Segue	kó	k ó
7540	(3Sg inanimate pronoun)	Tebul_Ure	kú	k ú
7541	(3Sg inanimate pronoun)	Yanda_Dom	kó	k ó
7542	(3Sg inanimate pronoun)	Najamba	kó	k ó
7631	(3Sg inanimate subject pronominal)	Toro_Tegu	=kɔ́	k ɔ́
7632	(3Sg inanimate subject pronominal)	Jamsay_Douentza	kɔ	k ɔ
7633	(3Sg inanimate subject pronominal)	Togo_Kan	kó	k ó
7357	(Accusative)	Ben_Tey	=nì	n ì
7358	(Accusative)	Ben_Tey	=ǹ	ǹ
