English,"Toro Tegu (Toupere, JH)","Ben Tey (Beni, JH)","Bankan-Tey (Walo, JH)","Nanga (Anda, JH)",Donno So,"Jamsay (Douentza area, JH)","Perge Tegu (Pergué, JH)","Gourou (Kiri, JH)","Jamsay (Mondoro, JH)","Togo-Kan (Koporo-pen, JH with BT)","Yorno So (Yendouma, JH)",Tomo Kan (Segue),Tomo Kan (Diangassagou),Tommo-So (JH),"Tommo-So (Tongo Tongo, LM)","Dogul Dom (Kundialang, JH)","Dogul Dom (Bendiely & Kundialang, BC)",Tebul Ure (JH),"Yanda Dom (Yanda, JH)","Najamba (Kubewel-Adia, JH)","Tiranige (Boui, JH)","Mombo (Songho, KP)","Ampari (Nando, KP)",Bunoge (Boudou),Penange (Pinia)
"heifer, young cow (not yet a mother)",nàŋà-yà gìrěy,nà: gùrɔ̌-m,wí:gɛ̀-m\\wí:gɛ̀,"nàŋà gùrá, nàŋà yà-gùrá",nàŋà-gùlɔ́,nàŋà gùrɔ́,,,,nàŋà gùrɔ́,nà: gùlɔ́,,,,nàà gùlɔ̌y,,,,nà: gùlɔ̀\\-mù,nɛ̀: gúlɛ̀\\nàwò: gúlɛ̀-mbò,,nà: wíyây,,,
bull,nàŋà-àrá,nà: árⁿà-m,,nàŋà árⁿâ,nàŋà àná,nàŋà àrⁿá,,,,nàŋà àrⁿá,nà: àrⁿá,nàʔⁿà-jùŋgú,,,nàà àná,,nààgù ánà,nà: árⁿá,,nɛ̀: ánè\\nàwò: ánà:,,nà: wálá,,,
bull (castrated),nàŋà-àrà pɔ́lù,nà: pɔ̀rú-m,nà:-árⁿà-m\\nà:-árⁿà,nàŋà pɔ̀rí,nàŋà pɔ̀r-ú,nàŋà pɔ̀rú,nàŋà pɔ̀rú,,,nàŋà pɔ̀rú,nà: pɔ̀rú,nàʔⁿà-hɔ̀rú,,,nàà pɔ̀rú,"nà:g pɔ̌r, nà:g pɔ̀r-yà-ŋ́",,nà: pɔ̀rɛ̌:\\pɔ̀rù-mbɔ́,nà: pɔ̀dù\\-mù,nɛ̀: pòrá\\nàwò: pòrá-mbó,,nà: kámbì,,,
bull (uncastrated),"nàŋà-àrà bòbògú, nàŋà-àrà jǐw",nà: jàŋgú-m,nà:-jǐ-m\\nà:-jǐ:,nàŋà jàŋí,nàŋà kálàndù (stud),nàŋà jǎŋ,nàŋà jǎŋ,,nàŋà jǎŋ,nàŋà jàŋú,nà: jàŋú,,,,nàà jǎm,nà:g pɔ̀rǎ:-n,,nà: zànjɛ̌:\\zàŋù-mbɔ́,nà: zànjù\\-mù,nɛ̀: jàŋá\\nàwò: jàŋá-mbó,,nà: wálá,,,
"bull (uncastrated, young, not yet a stud)",,nà: já: kírìm,,nàŋà kóróbórì,,"nàŋà kóróbó:rì, nàŋà kóróbôy",nàŋà kórógôy,,,,nà: àrⁿà-tâ:n,,,,,,,,kóròbòrì,nɛ̀: bóndè\\nàwò: bóndù-mbò,,,,,
dog,nènú,ìnjɛ̌-m\\ìnjɛ́,ǹjèrû-m\\ǹjèrú,nɛ̀rⁿî,ìdú,ìjú,ìšú,ìzú,ìjú,ìsí,ìjú,ʔùjù,ùjù,xxx,ìsé,ùŋɔ́-ŋ́ (pl ùŋɔ́ⁿ yà:),úŋɔ̀,ìnjɛ̌:\\ìnjɛ̀-mbɔ́,"ìnjɛ̀\\-mù, ǹjɛ̀\\-mù",ŋ̀gwɛ̌:\\ŋ̀gwɛ̀:-mbó,í:njɛ́ ~ í:ŋgɛ́,ínjɛ̀,ìjɛ́ (ìjɛ́ gè),ʔínjɛ̀,ŋkɛ̀
goat,ɛ̀rⁿá,bɛ́rì-m ~ bɛ́rù-m\\bɛ́rù,bɛ́rù-m\\bɛ́rù,"bɛ́rî, mírⁿê ~ mɛ́rⁿɛ̂",ɛ̀nɛ́,"bɛ̀rú, bɛ̀n-ná:, ɛ̀rⁿɛ́",ɛ̀rⁿɛ́,bɛ̀rú,bɛ̀rú,ɛ̀rⁿɛ́,ɛ̀rⁿɛ́,gɛ́,gɛ́:,xxx,ɛ̀nɛ́,ínà:,ínàà,írⁿè:\\írⁿì-mbɔ̀ ~ ín-bɔ̀ (sg also ìn before adjective),ʔə́nɛ́\\-mù,ínè\\ínà:,ùnà,úná,,kílɔ̀,úná (ɲ-)
goat kid,ɛ̀rⁿà-[ìrⁿ-í:],bɛ̀r yí-m,bɛ̀r-yî-m\\-yî:,bɛ̀r-yî:,ɛ̀nɛ̀-î:,bɛ̀rⁿ-î:ⁿ,,,,ɛ̀rⁿ-í:ⁿ,ɛ̀rⁿɛ̀-î:,,,,ɛ̀nɛ̀ íí,,ìnàà égù,ìn-ɛ̀dɛ́,ʔə̀n-íyè,nà:jî:\\nà:jû:,,úná wé:,,,
"nanny-goat, she-goat",ɛ̀rⁿà-yá,bɛ̀r yǎ-m,bɛ̀rù yǎ-m,,,bɛ̀n-ná:,,,,ɛ̀rⁿɛ̀ ná:,ɛ̀rⁿɛ̀ yǎ:,,,,ɛ̀nɛ̀ yàá,,,,ʔə̀nɛ̀-yɛ̀\\-mù,ìnè yɛ̌:\\ìnà: yàwó:,,úná yɔ̂:,,,
nanny-goat (not yet a mother),ɛ̀rⁿà-yà gìrěy,bɛ̀r gùrɔ̌-m,,mìrⁿè gùrá,ɛ̀nɛ̀ gùlɔ́,bɛ̀r gùrɔ́,,,,ɛ̀rⁿɛ̀ gùrɔ́,ɛ̀rⁿɛ̀-gùlɔ́,,,,ɛ̀nɛ̀ gùlɔ̌y,,,,ʔə̀nɛ̀ gùlɔ̀,ìnè gúlɛ̀\\ìnà: gúlɛ̀-mbò,,ùnà gúlá,,,
"billygoat, male goat",ɛ̀rⁿà-àrá,"bɛ̀r-àjǐ-m\\bɛ̀r-àjǐ:, bɛ̀r árⁿà-m",,bɛ̀r árⁿà,ɛ̀nɛ̀ àná,"bɛ̀r-àjí:, bɛ̀rù-àrⁿá",,bɛ̀rù àgí:,,ɛ̀rⁿɛ̀ àrⁿá,ɛ̀rⁿɛ̀ àrⁿá,gɛ̀-jí:,,,ɛ̀nɛ̀ àná,,,ìnè árⁿá,ʔə̀nɛ̀ án,ìnè ánè\\ìnà: ánà:,,ùnà wálá,,,
billygoat (castrated),ɛ̀rⁿà-àrà pɔ́lù,bɛ̀r pɔ̀rú-m,,bɛ̀r pɔ̀rí,ɛ̀nɛ̀ pɔ̀r-ú,bɛ̀r pɔ̀rú,ɛ̀rⁿɛ̀ pɔ̀rú,,,ɛ̀rⁿɛ̀ pɔ̀rú,ɛ̀rⁿɛ̀ pɔ̀rú,,,,ɛ̀nɛ̀ pɔ̀rú,,,ìn pɔ̀rɛ̌:\\pɔ̀rù-mbɔ́,ʔə̀nɛ̀ pɔ̀dù\\-mù,ìnè pɛ̀rɛ̀ŋgɛ́\\ìnà: pɛ̀rɛ̀ŋgɛ́-mbó,,ùnà tɛ̀bùlɛ́,,,
billygoat (emasculated by crushing),bɛ̀l-àrà pɔ́lù,pɛ̀rè pɔ̀rú-m,,bɛ̀r tùmbí,,bɛ̀r tǔm,àjì: tùmbú,,,,ɛ̀rⁿɛ̀ kàmú,,,,"ɛ̀nɛ̀ dúmbú, ɛ̀nɛ̀ kálá píyáàrì",,,,ʔə̀nɛ̀ kàmbù\\-mù,ìnè dùmbɛ́-bà:\\ìnà: dùmbɛ́-bà:-mbò,,ùnà wàlà kámbì,,,
billygoat (uncastrated),ɛ̀rⁿà-àrà bòbògú,"bɛ̀r-àjǐ-m\\bɛ̀r-àjǐ:, àjǐ:-m\\àjǐ:",bɛ̀r-gǐ-m\\-gǐ:,"bɛ̀r ɛ̀ndɛ̀gí, ɛ̀ndɛ̀gí",ɛ̀nɛ̀ kálàndù (stud),"bɛ̀r-àjí:, àjí:",àjí:,,,ɛ̀rⁿɛ̀ jàŋú,ɛ̀rⁿɛ̀-àkí:,,,,"ɛ̀nɛ̀ jǎm, ɛ̀nɛ̀ gíy",,,ìn zànjɛ̌:\\zàŋù-mbɔ́,ʔə̀nɛ̀ cènù\\-mù,ìnè ě:bè\\ìnà: ě:bù:,,ùnà wálá,,,
a breed of goats (the most common breed locally),,,,bɛ̀r dé:,,bɛ̀n-ná:,,,,,dɔ̀gɔ̀-ɛ̀rⁿɛ́,,,,"tìbé ɛ̀nɛ̀, dɔ̀gɔ̀ ɛ̀nɛ́",,,,bɛ̀lɛ̀-ʔə́nɛ́,ìnè gìndɛ́:\\ìnà: gìndɔ́:,,,,,
a breed of goats (small),ɛ̀rⁿà cɛ́tɛ̀,bɛ̀r cɛ́tɛ́-m,bɛ̀r kɛ́tɛ́-m\\-kɛ́tɛ́,"bɛ̀r dègé, bɛ̀r kédé:jì",,bɛ̀r cɛ̀tɛ́,,,,,ɛ̀rⁿɛ̀ kɛ́tɛ̀,,,,"ɛ̀nɛ̀ dégé, ɛ̀nɛ̀ dùmbì-ý, bɔ̀ɔ̀bɔ̀ ɛ̀nɛ́",,,,dɔ̀gɔ̀-ʔə́nɛ́,ìnè kègélè\\ìnà: kègêl-mbò,,ùnà mérè,,,
a breed of goats (small ears),ɛ̀rⁿà cɔ́ddà,bɛ̀r sù:rⁿù pé:-m,,"bɛ̀r-pé:, mìrⁿè sùŋùnù pé:",,bɛ̀r píwé,,,,,,,,,ɛ̀nɛ̀ sùgùlù téré,,,,,ìnè dánà-mènjì:\\ìnà: dánà-mènjù-mbò,,ùnà súgúlì kúmɛ́mɛ̀,,,
a breed of goats (thick-haired),ɛ̀rⁿà cápà,jámbé-m\\jámbé,bɛ̀r sàpó-m\\sàpó,bɛ̀r-jámbè,,"cápɔ̂:, cáfɔ̂:",,,,,ɛ̀rⁿɛ̀-bìɲɛ́,,,,,,,,ʔə̀nɛ̀ cápà,"ìnè kùlɛ̀-gɛ́:\\ìnà: kùlɛ̀-gá:, ìnè sàpó\\ìnà: sàpú-mbó",,ùnà bèjé,,,
"a breed of goat (large body, large ears)",,,,bâ:lbá:lì,,bɛ̀rù bâ:l-bâ:l,,,,,,,,,,,,,,,,,,,
sheep,bɛ̀lú,pɛ̀rɛ̌-m\\pɛ̀rɛ́,pɛ̀rɛ̌-m\\pɛ̀rɛ́,pɛ̀rgɛ́,pédù,pé:jú,pé:sú,pé:zú,pé:jú,péjú,péjú,pèjí,péjí,xxx,pédú,pésgè,pésìgì,péddè\\pédù-mbò,pɛ̀:\\-mú,pɛ̀gɛ́\\pɛ̀gɛ́-mbó,ámbá ~ á:ná,ánnà,,ʔálámà,àlàmùnɔ̀ (y-)
lamb,bɛ̀lù-[ìrⁿ-í:],pɛ̀rɛ̀-yí-m,,pɛ̀rgɛ̀-yî:,pèdù-î:,pè:j-î:ⁿ,,,,pèj-í:ⁿ,pèjù-î:,,,,pèdù íí,,,pèddè-ɛ̀dɛ́,pɛ̌-yyè\\-mù,pɛ̀gɛ̀ èndê:\\pɛ̀gɛ̀-mbò òndô:,,ànnà wé:,,,
ewe,bɛ̀lù-yá,pɛ̀rɛ̀ yǎ-m,pɛ̀rɛ̀ yǎ-m,pɛ̀rgɛ̀ yǎ-ŋ\\yǎ:,,pè:jù-ná:,,,,pèjù ná:,pèjù yǎ:,pèjì yà:,,,pèdù yàá,,,,pɛ̀: yɛ̀,pɛ̀gɛ̀ yɛ̌:\\pɛ̀gɛ̀-mbò yàwó:,,ánnà yɔ̂:,,,
young adult ewe (not yet a mother),bɛ̀lù-yà gìrěy,pɛ̀rɛ̀ gùrɔ̌-m,,pɛ̀rgɛ̀ gùrá,,pè:jù gùrɔ́,,,,pèjù gùrɔ́,pèjù gùlɔ́,,,,pèdù gùlɔ̌y,,,,pɛ̀: gùlɔ̀\\-mù,pɛ̀gɛ̀ gúlɛ̀\\pɛ̀gɛ̀-mbò gúlɛ̀-mbò,,ànnà gúlá,,,
ram,"bɛ̀lù-àrá, bɛ̀l-à:rá",pɛ̀rɛ̀ árⁿà-m,,pɛ̀rgɛ̀ árⁿâ,pèdù àná,pè:jù-àrⁿá,,pè:zù àgí:,,pèjù àrⁿá,pèjù àrⁿá,pèjì-jèⁿjèⁿ,,,pèdù àná,,,,,pɛ̀g-á:nè\\pɛ̀gɛ̀-mbò ánà:,,ànnà wálá,,,
ram (castrated),bɛ̀l-àrà pɔ́lù,pɛ̀rè pɔ̀rú-m,pɛ̀rɛ̀-árⁿà-m\\-árⁿà,pɛ̀rgɛ̀ pɔ̀rí,pèdù pɔ̀r-ú,pè:jù pɔ̀rú,,,,,pèjù pɔ̀rú,,,,pèdù pɔ̀rú,,,pèddè pɔ̀rɛ̌:,pɛ̀: pɔ̀dù\\-mù,pɛ̀gɛ̀ mɔ́rɛ́-bà:\\pɛ̀gɛ̀-mbò mɔ́rɛ́-bà:-mbò,,ànnà kámbì,,,
ram (emasculated by crushing),bɛ̀l tûw,pɛ̀rɛ̀ tùmbú-m\\tùmbú,,pɛ̀rgɛ̀ tùmbí,,pè:jù tǔm,,,,,pèjù kàmú,,,,pèdù dúmbú,,,,pɛ̀: kàmbù\\-mù,pɛ̀gɛ̀ dùmbɛ́-bà:\\pɛ̀gɛ̀-mbò dùmbɛ́-bà:-mbò,,ànnà tɛ̀bùlɛ́,,,
ram (uncastrated),"bɛ̀l-àrà jǐw, bɛ̀l-bà-jǐw","pɛ̀rɛ̀ jǐ:m, pɛ̀rɛ̀ à-jǐ:m",pɛ̀rɛ̀-jǐ-m\\jǐ:,pɛ̀rgɛ̀ jàŋí,pèdù kálàndù (stud),pè:jù-àjí:,,,,pèjù jàŋú,pèjù jàŋú,,,,pèdù jǎm,,,pèddè zànjɛ̌:,pɛ̀:-gàɲù\\-mú,pɛ̀gɛ̀ jàŋá\\pɛ̀gɛ̀-mbò jàŋá-mbó,,ànnà wálá,,,
"breed of sheep (large, with long ears)","bɛ̀lú-bèlù, bâ:l-bâ:l",pɛ̀rɛ̀-bâ:lbá:l-ùm\\-bâ:lbâ:l,bâ:lbá:lì,"pɛ̀rgɛ̀ bâ:l, pɛ̀rgɛ̀ bâ:l-bâ:l",,"bâ:lbâ:l, pè:jù-bâ:lbâ:l",,,,,bâ:l-bâ:l,,,,pèdù mɔ́nɔ́gɔ́,,,,pɛ̀: bâ:lbâ:l,pɛ̀gɛ̀ bá:lì-bá:lì\\pɛ̀gɛ̀-mbò bá:lì-bá:lì-mbò,,ànnà sùgìlì-na bâyⁿ,,,
breed of sheep (mid-sized),bɛ̀l-ná: tôw,nɔ́:rá:jì,,,,"dɔ́:rá:jì, pè:jù-dɔ́:rá:jì",,,,,,,,,mɔ̀nɔ̀gɔ̀ gùnnɔ́,,,,dɔ́rà:jì,,,,,,
"breed of sheep (small, good climbers)",bɛ̀l cɛ́tɛ̀,pɛ̀rɛ̀ cɛ́tɛ́-m,pɛ̀rɛ̀-kɛ́tɛ́-m\\-kɛ́tɛ́,"pɛ̀rgɛ̀ tɔ̀rɔ̀-kɛ̀tɛ́, pɛ̀rgɛ̀ kɛ́dɛ́:jì",,pè:jù cɛ̀tɛ́,,,,,dɔ̀gɔ̀-péjú,,,,"tìbé pèdù, dɔ̀gɔ̀ pédú",,,,dɔ̀gɔ̀-pɛ̀:\\-mú,kìnû: pɛ̀gɛ̀\\kìnû: pɛ̀gɛ̀-mbò,,ànnà dé:jé,,,
breed of sheep (with abundant wool),kúndô:w,pɛ̀rɛ̀ kóndó:rù-m,"pɛ̀rɛ̀-yúgúsú-m\\-yúgúsú, kúndôw-m\\kúndôw",pɛ̀rgɛ̀ kóndó:rì,,pè:jù-kúndôw,,,,,pèjù-bìɲɛ́,,,,"pèdù gúdúlú, pèdù bɛ̀njɛ́",,,,,pɛ̀gɛ̀ kùlɛ̀-gɛ́:\\pɛ̀gɛ̀-mbò kùlɛ̀-gá:,,ànnà dɔ́rɔ̀,,,
breed of sheep (with limited wool),ságâ:w,pɛ̀rɛ̀ sákâw-m\\sákâw,pɛ̀rɛ̀ ságâw-m\\ságâw,pɛ̀rgɛ̀ ságâ,,xxx,,,,,,,,,pèdù ságàw,,,,,pɛ̀gɛ̀ ságâw\\pɛ̀gɛ̀-mbò ságâw-mbò,,,,,
breed of large sheep (in plains),,,,,,,,,,,pùlɔ̀-péjú,,,,ɛ̀nɛ̀ bɛ̀njɛ́,,,,pùlɔ̀-pɛ̀:\\-mú,,,,,,
horse,"sòŋgú, sòŋú, sǒŋ",sǒ-m\\sǒ:,sǒ-m\\sǒ:,sǒŋ,sǒŋ,sǒm,sǒm,sǒm,,sɔ̌ⁿ,sǒm,sɔ̀-wⁿ (X sɔ́ⁿ),sò-wⁿ (X só:ⁿ),xxx,sóm,sǒm,sómú,sòmé\\sòm-bó,sòm,"bàné\\bà-mbó, bǎn\\bǎn-bó",sóɲóní ~ sóɲjóní,sóɲónì,,sé (sê: nɔ̀),sònjòm
pigeon (domestic),tùsûm,gɔ᷈:ⁿ-m\\gɔ᷈:ⁿ,tùrùsû-m\\tùrùsû:,jà:mbá,gùlɔ̀mbɔ́,kì-kájà,kà-kásà,,"gúmbà (domestic), kì-kájà (wild)",pèlè gúmó,gùrùmâ:,pyèlè-búmbàlà,pèlè-búmbàlà,,gùrùmbáá,gùlàmpá,"gùlàmbá, gùlàmpá",kágádá\\kágádá-mbɔ̀,gùlúmbà,gùrmbâ:\\gùrmbâ:-mbò,gùlùmbá,dèbù gúmbá-gúmbà,,kùnɛ̀-kúnɛ́ sǎ:mbà,pólmálá:ndì (< Ful.)
wild animals (eaten or not),òw ɛ́sú,ɔ̀rⁿɔ́: yɔ̂:,"ɔ̀rⁿɔ́: yɔ̂-m\\yɔ̂:, ɔ̀rⁿɔ̀ jáwdì-m\\jáwdì",ǒ: jáwdì,,,,,,bàrà-nɔ̌:ⁿ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
wild game animal(s),ǒw nàwⁿà,ɔ̀rⁿɔ́: nàwⁿà:,ɔ̀rⁿɔ́: námà,ò:-nàmâ,ògùlù-nàmá,"èjù-nɔ̀wⁿɔ́, nɔ̀wⁿɔ́, èjú mà gàsɛ̀gɛ́",,,,,òl-nàwⁿá,bàlà-nàmà,,,òlù nàmá,,,,òy-nàmà\\-mú,kɛ̀rɛ̀-nàmâ:\\-mbò,,kɔ̀yⁿ námà,,,
bird (any),sǎy,nì:yⁿî-m\\nì:yⁿî:,nǐ:-m\\nǐ:,lì:gí,sàdâ:,"sà:j-î:ⁿ, sàjú",sà-sǎy,,sàjú,sàjú,sì-sǎ:,sàjù,sàjù,xxx,sàdàá,nègě:g,"lègèègú, nègèègú",àdé\\àdù-mbó,àɲàn\\-mù,nǐ:\\nì:-mbó,níyè,ìní,,ní:bè,nèjjé
poultry,,,jɛ̀ndɛ̀-kìsìyú,,,,,,,,ɛ̀ɲɛ́,,,,gìnɛ̀-ý sàdàà,,,,,,,kárá kárá sá:gè,,,
pig,tórú,tórú-m\\tórú,àríyè-m\\àríyà,tó:rì,tólù,tórú,tórú,,,tórú,tól,tó-ẃ (X tó),tó-ẃ (X tó:),,tólú,álìyà,álìyà,tólé\\tól-mbò,tól,"àlíyà\\àlíyà-mbò, ólé àlìyà\\ólé àlìyà-mbò",álíyá,álúwà,,ʔàllà,àlgà (y-)
"herder, shepherd","bè-bé-nú\\bè-bérú-m, àrzàgà-bé-nú\\bérú-m",àrsɛ̀:-bèré-m\\bèré,bè-bèrú-m\\bè-bèrú,"jáwtì nù dìmbíyɛ̂-m, bèrèmbí",bɛ̀lù-gírì-nɛ̀\\bɛ̀lù-ŋ-gírì-ŋ,"bɛ̀r-jírɛ́-n, àsɛ̀gɛ̀-dígɛ́-n, àsɛ̀gɛ̀-jírí-n",gírí-nú,,,àrùsɛ̀gɛ̀-gírɛ́,bɛ̀l-[gírɛ́-nɛ́],"dà:bà-[jìrɛ̀-yⁿ], byɛ̀-[jìrɛ̀-yⁿ], byɛ̀-[ɲù:-mìⁿ]",dà:bà-[jìrɛ̀-yⁿ],,gìrù gírí-nɛ́,bɛ̀l-gírù,bɛ̀lɛ̀gírù,bè:mé:\\bè:m-bó,kìlɛ̀\\-mù,kìrgɛ́:\\kìrgá:,bèlgè-jírí,bɛ̀lì gírí,,kɔ̀mbɔ̀-gírá-gò,gìrà:-gìr
"cattle herder, cowherd",nàŋà-bé-nú\\-bérú-m,nà:-bèré-m\\bèré,,nàŋà-bèrèmbí,nàŋà-gírì-nɛ̀,nàŋà-jírɛ́-n,,,,,nà:-[gírɛ́-nɛ́],,,,nàà gírí-nɛ́,,nàgír,,nà:-kìlɛ̀\\-mù,nàwò: kìrgɛ́:,,nâ: gírí,,,nà:-gìr
livestock custodian,,,,jáwdì nù háybɛ̂-m,,àsɛ̀gɛ̀-háybɛ́-n,,,,,bɛ̀l-[gírɛ́-nɛ́],,,,bɛ̀lù gírí-nɛ́,,,,,dùmɔ̀:-hàybé\\dùmɔ̀:-hàybú-mbó,,,,,
"pasture, grazing",bérúm,bèré:,,bèrèmbí,gìrú,jírù,gírì,,,gírì,gírù,,,,gírú,,,bè:-ŋgó,kílɛ́,gír-ŋgán,,bɛ́lí gírí,,,
"(herder) watch over, tend (flock)",bèrǔm\\bèrùmó,háybɛ́,,háybí,,háybɛ́,háybɛ́,,,,kájúbá-\\kájúbú,,,,"háìbɛ̀ káná, yɛ̀-ndɛ́",,,bè-:ŋgó bè:mí (bè:mí-tì),háybɛ́,háybɛ́,,"gírɛ́, kájábè, háybè kání",,,
(livestock) go to graze in pasture,bérúm bòrú\\yá,ɲɛ̀-rɛ́: ló,,"bèrèmbí gó ńné, bèrěm gó ńné",,jírù yǎ:,gírì yǎ:,gírù yǎ:,,gírì yě,gírù yǎ:-\\yǎy,,,,gírú yàá,,,,[kílɛ́ ná] ún,gír-ŋgán ín,,,,,
"(livestock) graze, feed on vegetation",tógúrú\\tógúró,ɲɛ́,,bèrí kúwó,,jìrɛ́,,,,,běl mɛ̀rⁿɛ́-\\mɛ̀rⁿɛ́,,,,bèlú mìnɛ́,,bɛ̀lɛ́ bìlí ɲɛ́ɛ̀n,,,bèlé kúbí,,ɲá:mì,,,
