ID	CONCEPT	DOCULECT	COUNTERPART	TOKENS	CONCEPT_LIST
26	(1Pl alienable possessor, all forms)	Donno_So	ɛ̀m-mɔ̀	ɛ̀ m m ɔ̀	DB
27	(1Pl all-purpose possessor)	Ampari	nì	n ì	DB
28	(1Pl all-purpose possessor)	Ben_Tey	î:	îː	DB
29	(1Pl all-purpose possessor)	Bunoge	ŋ́	ŋ́	DB
30	(1Pl all-purpose possessor)	Najamba	í	í	DB
31	(1Pl all-purpose possessor)	Najamba	í bɔ̀	í # b ɔ̀	DB
32	(1Pl all-purpose possessor)	Najamba	í yɛ̀	í # j ɛ̀	DB
33	(1Pl all-purpose possessor)	Penange	m̀bè	m̀ b è	DB
34	(1Pl all-purpose possessor)	Penange	m̀:	m̀ː	DB
35	(1Pl all-purpose possessor)	Togo_Kan	ɛ́mɛ́	ɛ́ m ɛ́	DB
36	(1Pl all-purpose possessor)	Tomo_Kan_Segue	bè	b è	DB
37	(1Pl all-purpose possessor)	Toro_Tegu	í	í	DB
38	(1Pl inalienable possessor)	Jamsay_Douentza	ɛ̀mɛ̀	ɛ̀ m ɛ̀	DB
39	(1Pl inalienable possessor)	Nanga	î:	îː	DB
40	(1Pl inalienable possessor)	Perge_Tegu	ì	ì	DB
41	(1Pl inalienable possessor)	Tebul_Ure	í	í	DB
42	(1Pl inalienable possessor)	Tiranige	nì	n ì	DB
43	(1Pl inalienable possessor)	Yanda_Dom	yè	j è	DB
44	(1Pl inalienable possessor)	Yorno_So	émɛ́	é m ɛ́	DB
45	(1Pl inalienable possessor)	Donno_So	ɛ́mmɛ̀	ɛ́ m m ɛ̀	DB
46	(1Pl independent pronoun)	Ampari	ní	n í	DB
47	(1Pl independent pronoun)	Ben_Tey	î:	îː	DB
48	(1Pl independent pronoun)	Bunoge	mìyá	m ì j á	DB
49	(1Pl independent pronoun)	Jamsay_Douentza	ɛ́mɛ́	ɛ́ m ɛ́	DB
50	(1Pl independent pronoun)	Najamba	í	í	DB
51	(1Pl independent pronoun)	Nanga	î:	îː	DB
52	(1Pl independent pronoun)	Penange	ḿbé	ḿ b é	DB
53	(1Pl independent pronoun)	Perge_Tegu	í	í	DB
54	(1Pl independent pronoun)	Tebul_Ure	í	í	DB
55	(1Pl independent pronoun)	Tiranige	nì	n ì	DB
56	(1Pl independent pronoun)	Tiranige	níwⁿ	n í wⁿ	DB
57	(1Pl independent pronoun)	Togo_Kan	ɛ́mɛ́	ɛ́ m ɛ́	DB
58	(1Pl independent pronoun)	Tomo_Kan_Segue	bé	b é	DB
59	(1Pl independent pronoun)	Toro_Tegu	í	í	DB
60	(1Pl independent pronoun)	Yanda_Dom	yé	j é	DB
61	(1Pl independent pronoun)	Yorno_So	émɛ́	é m ɛ́	DB
62	(1Pl independent pronoun)	Dogul_Dom	í	í	DB
63	(1Pl independent pronoun)	Donno_So	ɛ́mmɛ̀	ɛ́ m m ɛ̀	DB
64	(1Pl subject pronominal)	Ampari	ǹ	ǹ	DB
65	(1Pl subject pronominal)	Ben_Tey	ỳ∴	j̀	DB
66	(1Pl subject pronominal)	Bunoge	ŋ́	ŋ́	DB
67	(1Pl subject pronominal)	Jamsay_Douentza	y	j	DB
68	(1Pl subject pronominal)	Najamba	y	j	DB
69	(1Pl subject pronominal)	Nanga	ỳ∴	j̀	DB
70	(1Pl subject pronominal)	Penange	ŋ̀	ŋ̀	DB
71	(1Pl subject pronominal)	Perge_Tegu	y	j	DB
72	(1Pl subject pronominal)	Tebul_Ure	yⁿ	jⁿ	DB
73	(1Pl subject pronominal)	Tiranige	ní	n í	DB
74	(1Pl subject pronominal)	Tiranige	nì	n ì	DB
75	(1Pl subject pronominal)	Togo_Kan	ɛ́mɛ́	ɛ́ m ɛ́	DB
76	(1Pl subject pronominal)	Tomo_Kan_Segue	bè	b è	DB
77	(1Pl subject pronominal)	Toro_Tegu	í	í	DB
78	(1Pl subject pronominal)	Yanda_Dom	y	j	DB
79	(1Pl subject pronominal)	Mombo	Ǹ-	ǹ	DB
80	(1Pl subject pronominal)	Tomo_Kan_Diangassagou	à	à	DB
81	(1Pl subject pronominal)	Donno_So	-ŋ	ŋ	DB
82	(1Pl subject pronominal)	Donno_So	-ʸŋ	ʸŋ	DB
83	(1Sg accusative, irregular only)	Nanga	ǹjíŋ	ǹ dʒ í ŋ	DB
84	(1Sg accusative, irregular only)	Togo_Kan	má	m á	DB
85	(1Sg accusative, irregular only)	Tomo_Kan_Segue	mìní	m ì n í	DB
86	(1Sg accusative, irregular only)	Yorno_So	míỳ	m í j̀	DB
87	(1Sg alienable possessor, all forms)	Jamsay_Douentza	má	m á	DB
88	(1Sg alienable possessor, all forms)	Perge_Tegu	má	m á	DB
89	(1Sg alienable possessor, all forms)	Tebul_Ure	kɔ̌:	k ɔ̌ː	DB
90	(1Sg alienable possessor, all forms)	Tiranige	mɛ̀:	m ɛ̀ː	DB
91	(1Sg alienable possessor, all forms)	Tiranige	mɛ̌:	m ɛ̌ː	DB
92	(1Sg alienable possessor, all forms)	Yanda_Dom	míyⁿɛ̀	m í jⁿ ɛ̀	DB
93	(1Sg alienable possessor, all forms)	Yorno_So	mɔ̀	m ɔ̀	DB
94	(1Sg alienable possessor, all forms)	Donno_So	m̀-mɔ̀	m̀ m ɔ̀	DB
95	(1Sg all-purpose possessor)	Ampari	ǹ	ǹ	DB
96	(1Sg all-purpose possessor)	Bunoge	ŋ̀	ŋ̀	DB
97	(1Sg all-purpose possessor)	Najamba	mí	m í	DB
98	(1Sg all-purpose possessor)	Najamba	mí bɔ̀	m í # b ɔ̀	DB
99	(1Sg all-purpose possessor)	Najamba	mí yɛ̀	m í # j ɛ̀	DB
100	(1Sg all-purpose possessor)	Nanga	yɛ᷈:	j ɛ᷈ː	DB
101	(1Sg all-purpose possessor)	Nanga	kɔ᷈:	k ɔ᷈ː	DB
102	(1Sg all-purpose possessor)	Penange	ḿ	ḿ	DB
103	(1Sg all-purpose possessor)	Penange	m̀	m̀	DB
104	(1Sg all-purpose possessor)	Togo_Kan	mà	m à	DB
105	(1Sg all-purpose possessor)	Tomo_Kan_Segue	ǹ	ǹ	DB
106	(1Sg all-purpose possessor)	Toro_Tegu	m̀	m̀	DB
107	(1Sg dative (irregular)	Jamsay_Douentza	mìń	m ì ń	DB
108	(1Sg dative (irregular)	Najamba	ḿ mà	ḿ # m à	DB
109	(1Sg dative (irregular)	Nanga	bàrⁿí	b à rⁿ í	DB
110	(1Sg dative (irregular)	Perge_Tegu	mìrⁿú	m ì rⁿ ú	DB
111	(1Sg dative (irregular)	Togo_Kan	máǹ	m á ǹ	DB
112	(1Sg dative (irregular)	Tomo_Kan_Segue	ǹdó	ǹ d ó	DB
113	(1Sg inalienable possessor)	Jamsay_Douentza	mì	m ì	DB
114	(1Sg inalienable possessor)	Perge_Tegu	mì	m ì	DB
115	(1Sg inalienable possessor)	Tebul_Ure	mí	m í	DB
116	(1Sg inalienable possessor)	Tiranige	mì	m ì	DB
117	(1Sg inalienable possessor)	Yanda_Dom	mì	m ì	DB
118	(1Sg inalienable possessor)	Yorno_So	mú	m ú	DB
119	(1Sg inalienable possessor)	Donno_So	mí	m í	DB
120	(1Sg independent pronoun)	Ampari	mi	m i	DB,LJ
121	(1Sg independent pronoun)	Bangime	mí	m í	DB,LJ
122	(1Sg independent pronoun)	Bankan_Tey	í	í	DB,LJ
123	(1Sg independent pronoun)	Ben_Tey	í	í	DB,LJ
124	(1Sg independent pronoun)	Bunoge	mì	m ì	DB,LJ
125	(1Sg independent pronoun)	Dogul_Dom	mí	m í	DB,LJ
126	(1Sg independent pronoun)	Jamsay_Douentza	mí	m í	DB,LJ
127	(1Sg independent pronoun)	Jamsay_Mondoro	mí	m í	DB,LJ
128	(1Sg independent pronoun)	Mombo	mí:	m íː	DB,LJ
129	(1Sg independent pronoun)	Najamba	mí	m í	DB,LJ
130	(1Sg independent pronoun)	Nanga	ǐ:ⁿ	ǐːⁿ	DB,LJ
131	(1Sg independent pronoun)	Penange	mí	m í	DB,LJ
132	(1Sg independent pronoun)	Perge_Tegu	mí	m í	DB,LJ
133	(1Sg independent pronoun)	Sangha_So	mú	m ú	DB,LJ
134	(1Sg independent pronoun)	Tebul_Ure	mí	m í	DB,LJ
135	(1Sg independent pronoun)	Tiranige	mì	m ì	DB,LJ
136	(1Sg independent pronoun)	Tiranige	míwⁿ	m í wⁿ	DB,LJ
137	(1Sg independent pronoun)	Togo_Kan	íⁿ	íⁿ	DB,LJ
138	(1Sg independent pronoun)	Tommo_So	mí	m í	DB,LJ
139	(1Sg independent pronoun)	Tomo_Kan_Diangassagou	mí	m í	DB,LJ
140	(1Sg independent pronoun)	Tomo_Kan_Segue	mí	m í	DB,LJ
141	(1Sg independent pronoun)	Toro_Tegu	mí	m í	DB,LJ
142	(1Sg independent pronoun)	Toro_Tegu	m̀ᵇí	m̀ í	DB,LJ
143	(1Sg independent pronoun)	Yanda_Dom	mí	m í	DB,LJ
144	(1Sg independent pronoun)	Yorno_So	mú	m ú	DB,LJ
145	(1Sg independent pronoun)	Donno_So	mí	m í	DB,LJ
146	(1Sg subject pronominal)	Ampari	ǹ	ǹ	DB
147	(1Sg subject pronominal)	Ben_Tey	ỳ	j̀	DB
148	(1Sg subject pronominal)	Bunoge	ŋ̀	ŋ̀	DB
149	(1Sg subject pronominal)	Jamsay_Douentza	m	m	DB
150	(1Sg subject pronominal)	Najamba	m	m	DB
151	(1Sg subject pronominal)	Nanga	ỳ	j̀	DB
152	(1Sg subject pronominal)	Penange	ŋ́	ŋ́	DB
153	(1Sg subject pronominal)	Perge_Tegu	m	m	DB
154	(1Sg subject pronominal)	Tebul_Ure	m	m	DB
155	(1Sg subject pronominal)	Tiranige	yⁿ	jⁿ	DB
156	(1Sg subject pronominal)	Togo_Kan	í	í	DB
157	(1Sg subject pronominal)	Tomo_Kan_Segue	ìⁿ	ìⁿ	DB
158	(1Sg subject pronominal)	Toro_Tegu	m̀	m̀	DB
159	(1Sg subject pronominal)	Yanda_Dom	m	m	DB
160	(1Sg subject pronominal)	Yorno_So	m	m	DB
161	(1Sg subject pronominal)	Mombo	N-	n	DB
162	(1Sg subject pronominal)	Tomo_Kan_Diangassagou	ìⁿ 	ìⁿ	DB
163	(1Sg subject pronominal)	Tomo_Kan_Diangassagou	 ŋ̀	ŋ̀	DB
164	(1Sg subject pronominal)	Tomo_Kan_Diangassagou	mí-	m í	DB
165	(1Sg subject pronominal)	Donno_So	-ŋ	ŋ	DB
166	(1Sg subject pronominal)	Donno_So	-m	m	DB
167	(2Pl alienable possessor, all forms)	Jamsay_Douentza	é	é	DB
168	(2Pl alienable possessor, all forms)	Nanga	û: gɔ̀	ûː # ɡ ɔ̀	DB
169	(2Pl alienable possessor, all forms)	Nanga	û: yɛ̀	ûː # j ɛ̀	DB
170	(2Pl alienable possessor, all forms)	Perge_Tegu	é	é	DB
171	(2Pl alienable possessor, all forms)	Tebul_Ure	bígɛ̀	b í ɡ ɛ̀	DB
172	(2Pl alienable possessor, all forms)	Tebul_Ure	bígɛ̀mbɔ̀	b í ɡ ɛ̀ m b ɔ̀	DB
173	(2Pl alienable possessor, all forms)	Tiranige	ɛ̀wɛ́	ɛ̀ w ɛ́	DB
174	(2Pl alienable possessor, all forms)	Tiranige	ɛ̀wɛ̀	ɛ̀ w ɛ̀	DB
175	(2Pl alienable possessor, all forms)	Yanda_Dom	wɛ̂:ⁿ	w ɛ̂ːⁿ	DB
176	(2Pl alienable possessor, all forms)	Yorno_So	ɛ̀:	ɛ̀ː	DB
177	(2Pl alienable possessor, all forms)	Donno_So	è-mɔ̀	è m ɔ̀	DB
178	(2Pl all-purpose possessor)	Ampari	é	é	DB
179	(2Pl all-purpose possessor)	Ben_Tey	û:	ûː	DB
180	(2Pl all-purpose possessor)	Bunoge	á	á	DB
181	(2Pl all-purpose possessor)	Najamba	é	é	DB
182	(2Pl all-purpose possessor)	Najamba	ɛ́ bɔ̀	ɛ́ # b ɔ̀	DB
183	(2Pl all-purpose possessor)	Najamba	ɛ́ yɛ̀	ɛ́ # j ɛ̀	DB
184	(2Pl all-purpose possessor)	Penange	àbè	à b è	DB
185	(2Pl all-purpose possessor)	Togo_Kan	é	é	DB
186	(2Pl all-purpose possessor)	Tomo_Kan_Segue	è	è	DB
187	(2Pl all-purpose possessor)	Toro_Tegu	á	á	DB
188	(2Pl inalienable possessor)	Jamsay_Douentza	è	è	DB
189	(2Pl inalienable possessor)	Nanga	û:	ûː	DB
190	(2Pl inalienable possessor)	Perge_Tegu	è	è	DB
191	(2Pl inalienable possessor)	Tebul_Ure	bí	b í	DB
192	(2Pl inalienable possessor)	Tiranige	è	è	DB
193	(2Pl inalienable possessor)	Yanda_Dom	wò	w ò	DB
194	(2Pl inalienable possessor)	Yorno_So	é	é	DB
195	(2Pl inalienable possessor)	Donno_So	é	é	DB
196	(2Pl independent pronoun)	Ampari	é	é	DB
197	(2Pl independent pronoun)	Ben_Tey	û:	ûː	DB
198	(2Pl independent pronoun)	Bunoge	òyá	ò j á	DB
199	(2Pl independent pronoun)	Jamsay_Douentza	é	é	DB
200	(2Pl independent pronoun)	Najamba	é	é	DB
201	(2Pl independent pronoun)	Nanga	û:	ûː	DB
202	(2Pl independent pronoun)	Penange	ábé	á b é	DB
203	(2Pl independent pronoun)	Perge_Tegu	é	é	DB
204	(2Pl independent pronoun)	Tebul_Ure	bí	b í	DB
205	(2Pl independent pronoun)	Tiranige	è	è	DB
206	(2Pl independent pronoun)	Tiranige	éwⁿ	é wⁿ	DB
207	(2Pl independent pronoun)	Togo_Kan	é	é	DB
208	(2Pl independent pronoun)	Tomo_Kan_Segue	é	é	DB
209	(2Pl independent pronoun)	Toro_Tegu	á	á	DB
210	(2Pl independent pronoun)	Yanda_Dom	wó	w ó	DB
211	(2Pl independent pronoun)	Yorno_So	é	é	DB
212	(2Pl independent pronoun)	Dogul_Dom	é	é	DB
213	(2Pl independent pronoun)	Donno_So	é	é	DB
214	(2Pl subject pronominal)	Ampari	è	è	DB
215	(2Pl subject pronominal)	Ben_Tey	ẁ∴	ẁ	DB
216	(2Pl subject pronominal)	Bunoge	á	á	DB
217	(2Pl subject pronominal)	Jamsay_Douentza	bè	b è	DB
218	(2Pl subject pronominal)	Najamba	e:	eː	DB
219	(2Pl subject pronominal)	Najamba	ɛ:	ɛː	DB
220	(2Pl subject pronominal)	Nanga	ẁ∴	ẁ	DB
221	(2Pl subject pronominal)	Penange	à	à	DB
222	(2Pl subject pronominal)	Perge_Tegu	bè	b è	DB
223	(2Pl subject pronominal)	Tebul_Ure	yⁿ	jⁿ	DB
224	(2Pl subject pronominal)	Tiranige	é	é	DB
225	(2Pl subject pronominal)	Tiranige	è	è	DB
226	(2Pl subject pronominal)	Togo_Kan	é	é	DB
227	(2Pl subject pronominal)	Tomo_Kan_Segue	è	è	DB
228	(2Pl subject pronominal)	Toro_Tegu	á	á	DB
229	(2Pl subject pronominal)	Yanda_Dom	y	j	DB
230	(2Pl subject pronominal)	Yorno_So	y	j	DB
231	(2Pl subject pronominal)	Mombo	e-	e	DB
232	(2Pl subject pronominal)	Tomo_Kan_Diangassagou	è	è	DB
233	(2Pl subject pronominal)	Donno_So	-ŋ̀	ŋ̀	DB
234	(2Pl subject pronominal)	Donno_So	-ʸŋ̀	ʸŋ	DB
235	(2Sg alienable possessor, all forms)	Jamsay_Douentza	ú	ú	DB
236	(2Sg alienable possessor, all forms)	Nanga	ú gɔ̀	ú # ɡ ɔ̀	DB
237	(2Sg alienable possessor, all forms)	Nanga	ú yɛ̂	ú # j ɛ̂	DB
238	(2Sg alienable possessor, all forms)	Perge_Tegu	ú	ú	DB
239	(2Sg alienable possessor, all forms)	Tebul_Ure	úwɔ̀	ú w ɔ̀	DB
240	(2Sg alienable possessor, all forms)	Tebul_Ure	úwɔ̀mbɔ̀	ú w ɔ̀ m b ɔ̀	DB
241	(2Sg alienable possessor, all forms)	Tiranige	ɔ̀wɛ́	ɔ̀ w ɛ́	DB
242	(2Sg alienable possessor, all forms)	Tiranige	ɔ̀wɛ̀	ɔ̀ w ɛ̀	DB
243	(2Sg alienable possessor, all forms)	Yanda_Dom	ɔ́yⁿɛ̀	ɔ́ jⁿ ɛ̀	DB
244	(2Sg alienable possessor, all forms)	Yorno_So	ɔ̀:	ɔ̀ː	DB
245	(2Sg alienable possessor, all forms)	Donno_So	ù-mɔ̀	ù m ɔ̀	DB
246	(2Sg all-purpose possessor)	Ampari	ó	ó	DB
247	(2Sg all-purpose possessor)	Ben_Tey	ú	ú	DB
248	(2Sg all-purpose possessor)	Bunoge	à	à	DB
249	(2Sg all-purpose possessor)	Najamba	ó	ó	DB
250	(2Sg all-purpose possessor)	Najamba	ɔ́ bɔ̀	ɔ́ # b ɔ̀	DB
251	(2Sg all-purpose possessor)	Najamba	ɔ́ yɛ̀	ɔ́ # j ɛ̀	DB
252	(2Sg all-purpose possessor)	Penange	á	á	DB
253	(2Sg all-purpose possessor)	Penange	à	à	DB
254	(2Sg all-purpose possessor)	Togo_Kan	ú	ú	DB
255	(2Sg all-purpose possessor)	Tomo_Kan_Segue	à	à	DB
256	(2Sg all-purpose possessor)	Toro_Tegu	ú	ú	DB
257	(2Sg inalienable possessor)	Jamsay_Douentza	ù	ù	DB
258	(2Sg inalienable possessor)	Nanga	ú	ú	DB
259	(2Sg inalienable possessor)	Perge_Tegu	ù	ù	DB
260	(2Sg inalienable possessor)	Tebul_Ure	ú	ú	DB
261	(2Sg inalienable possessor)	Tiranige	ò	ò	DB
262	(2Sg inalienable possessor)	Yanda_Dom	ó	ó	DB
263	(2Sg inalienable possessor)	Yorno_So	ú	ú	DB
264	(2Sg inalienable possessor)	Donno_So	ú	ú	DB
265	(2Sg independent pronoun)	Ampari	ó	ó	DB,LJ
266	(2Sg independent pronoun)	Bangime	à	à	DB,LJ
267	(2Sg independent pronoun)	Bankan_Tey	ú	ú	DB,LJ
268	(2Sg independent pronoun)	Ben_Tey	ú	ú	DB,LJ
269	(2Sg independent pronoun)	Bunoge	ò	ò	DB,LJ
270	(2Sg independent pronoun)	Dogul_Dom	ó	ó	DB,LJ
271	(2Sg independent pronoun)	Jamsay_Douentza	ú	ú	DB,LJ
272	(2Sg independent pronoun)	Jamsay_Mondoro	í	í	DB,LJ
273	(2Sg independent pronoun)	Mombo	ó:	óː	DB,LJ
274	(2Sg independent pronoun)	Najamba	ó	ó	DB,LJ
275	(2Sg independent pronoun)	Nanga	ú	ú	DB,LJ
276	(2Sg independent pronoun)	Penange	ó	ó	DB,LJ
277	(2Sg independent pronoun)	Perge_Tegu	ú	ú	DB,LJ
278	(2Sg independent pronoun)	Sangha_So	ú	ú	DB,LJ
279	(2Sg independent pronoun)	Tebul_Ure	ú	ú	DB,LJ
280	(2Sg independent pronoun)	Tiranige	ò	ò	DB,LJ
281	(2Sg independent pronoun)	Tiranige	ó:	óː	DB,LJ
282	(2Sg independent pronoun)	Togo_Kan	ú	ú	DB,LJ
283	(2Sg independent pronoun)	Tommo_So	ú	ú	DB,LJ
284	(2Sg independent pronoun)	Tomo_Kan_Diangassagou	á	á	DB,LJ
285	(2Sg independent pronoun)	Tomo_Kan_Segue	á	á	DB,LJ
286	(2Sg independent pronoun)	Toro_Tegu	ú	ú	DB,LJ
287	(2Sg independent pronoun)	Yanda_Dom	ó	ó	DB,LJ
288	(2Sg independent pronoun)	Yorno_So	ú	ú	DB,LJ
289	(2Sg independent pronoun)	Donno_So	ú	ú	DB,LJ
290	(2Sg subject pronominal)	Ampari	ò	ò	DB
291	(2Sg subject pronominal)	Ben_Tey	ẁ	ẁ	DB
292	(2Sg subject pronominal)	Bunoge	à	à	DB
293	(2Sg subject pronominal)	Jamsay_Douentza	w	w	DB
294	(2Sg subject pronominal)	Najamba	o:	oː	DB
295	(2Sg subject pronominal)	Najamba	ɔ:	ɔː	DB
296	(2Sg subject pronominal)	Nanga	ẁ	ẁ	DB
297	(2Sg subject pronominal)	Penange	á	á	DB
298	(2Sg subject pronominal)	Perge_Tegu	w	w	DB
299	(2Sg subject pronominal)	Tebul_Ure	wⁿ	wⁿ	DB
300	(2Sg subject pronominal)	Tiranige	w	w	DB
301	(2Sg subject pronominal)	Togo_Kan	ú	ú	DB
302	(2Sg subject pronominal)	Tomo_Kan_Segue	à	à	DB
303	(2Sg subject pronominal)	Toro_Tegu	ú	ú	DB
304	(2Sg subject pronominal)	Yanda_Dom	w	w	DB
305	(2Sg subject pronominal)	Yorno_So	w	w	DB
306	(2Sg subject pronominal)	Mombo	a-	a	DB
307	(2Sg subject pronominal)	Tomo_Kan_Diangassagou	bè	b è	DB
308	(2Sg subject pronominal)	Donno_So	-ẁ	ẁ	DB
309	(3Pl all-purpose alienable possessor)	Jamsay_Douentza	bé	b é	DB
310	(3Pl all-purpose alienable possessor)	Nanga	bû: gɔ̀	b ûː # ɡ ɔ̀	DB
311	(3Pl all-purpose alienable possessor)	Nanga	bû: yɛ̀	b ûː # j ɛ̀	DB
312	(3Pl all-purpose alienable possessor)	Tebul_Ure	búgɔ̀	b ú ɡ ɔ̀	DB
313	(3Pl all-purpose alienable possessor)	Tebul_Ure	búgɔ̀mbɔ̀	b ú ɡ ɔ̀ m b ɔ̀	DB
314	(3Pl all-purpose alienable possessor)	Tiranige	cɛ̀wɛ́	tʃ ɛ̀ w ɛ́	DB
315	(3Pl all-purpose alienable possessor)	Yanda_Dom	bwɛ̂:ⁿ	b w ɛ̂ːⁿ	DB
316	(3Pl all-purpose alienable possessor)	Donno_So	bè-mɔ̀	b è m ɔ̀	DB
317	(3Pl all-purpose inalienable possessor)	Jamsay_Douentza	bè	b è	DB
318	(3Pl all-purpose inalienable possessor)	Nanga	bû:	b ûː	DB
319	(3Pl all-purpose inalienable possessor)	Tebul_Ure	bú	b ú	DB
320	(3Pl all-purpose inalienable possessor)	Tiranige	cè	tʃ è	DB
321	(3Pl all-purpose inalienable possessor)	Yanda_Dom	bò	b ò	DB
322	(3Pl all-purpose inalienable possessor)	Donno_So	bé	b é	DB
323	(3Pl all-purpose independent pronoun)	Ampari	ké	k é	DB
324	(3Pl all-purpose independent pronoun)	Bunoge	àyⁿá	à jⁿ á	DB
325	(3Pl all-purpose independent pronoun)	Penange	ŋké	ŋ k é	DB
326	(3Pl all-purpose independent pronoun)	Tiranige	cè	tʃ è	DB
327	(3Pl all-purpose independent pronoun)	Tiranige	céwⁿ	tʃ é wⁿ	DB
328	(3Pl all-purpose independent pronoun)	Yanda_Dom	bó	b ó	DB
329	(3Pl all-purpose independent pronoun)	Dogul_Dom	bé	b é	DB
330	(3Pl all-purpose independent pronoun)	Donno_So	bé	b é	DB
331	(3Pl all-purpose possessor)	Ampari	kè	k è	DB
332	(3Pl all-purpose possessor)	Bunoge	âŋ	â ŋ	DB
333	(3Pl all-purpose possessor)	Togo_Kan	bé	b é	DB
334	(3Pl all-purpose possessor)	Tomo_Kan_Segue	bò	b ò	DB
335	(3Pl all-purpose subject pronominal)	Tomo_Kan_Segue	ɛ:	ɛː	DB
336	(3Pl all-purpose subject pronominal)	Tomo_Kan_Diangassagou	bò	b ò	DB
337	(3Pl animate [including human] pronoun)	Ben_Tey	bû:	b ûː	DB
338	(3Pl animate [including human] pronoun)	Najamba	bé	b é	DB
339	(3Pl animate [including human] pronoun)	Nanga	bû:	b ûː	DB
340	(3Pl animate [including human] pronoun)	Tebul_Ure	bú	b ú	DB
341	(3Pl animate all-purpose possessor)	Ben_Tey	bû:	b ûː	DB
342	(3Pl animate all-purpose possessor)	Najamba	bé	b é	DB
343	(3Pl animate all-purpose possessor)	Najamba	bɛ́ bɔ̀	b ɛ́ # b ɔ̀	DB
344	(3Pl animate all-purpose possessor)	Najamba	bɛ́ yɛ̀	b ɛ́ # j ɛ̀	DB
345	(3Pl human alienable possessor, all forms)	Perge_Tegu	bé	b é	DB
346	(3Pl human alienable possessor, all forms)	Yorno_So	bèmɛ̀	b è m ɛ̀	DB
347	(3Pl human all-purpose possessor)	Toro_Tegu	bɛ̀	b ɛ̀	DB
348	(3Pl human inalienable possessor)	Perge_Tegu	bè	b è	DB
349	(3Pl human inalienable possessor)	Yorno_So	bé	b é	DB
350	(3Pl human pronoun)	Jamsay_Douentza	bé	b é	DB
351	(3Pl human pronoun)	Perge_Tegu	bé	b é	DB
352	(3Pl human pronoun)	Togo_Kan	bé	b é	DB
353	(3Pl human pronoun)	Tomo_Kan_Segue	bó	b ó	DB
354	(3Pl human pronoun)	Toro_Tegu	bé	b é	DB
355	(3Pl human pronoun)	Yorno_So	bé	b é	DB
356	(3Pl human subject pronominal)	Jamsay_Douentza	ba	b a	DB
357	(3Pl human subject pronominal)	Perge_Tegu	bɔ̀	b ɔ̀	DB
358	(3Pl human subject pronominal)	Togo_Kan	bé	b é	DB
359	(3Pl human subject pronominal)	Toro_Tegu	=bɛ́	b ɛ́	DB
360	(3Pl inanimate (subject pronominal)	Toro_Tegu	=kɛ́	k ɛ́	DB
361	(3Pl inanimate (subject pronominal)	Toro_Tegu	=cɛ́	tʃ ɛ́	DB
362	(3Pl inanimate all-purpose possessor)	Najamba	ké	k é	DB
363	(3Pl inanimate all-purpose possessor)	Toro_Tegu	kɛ̀	k ɛ̀	DB
364	(3Pl inanimate all-purpose possessor)	Toro_Tegu	cɛ̀	tʃ ɛ̀	DB
365	(3Pl inanimate pronoun)	Najamba	ké	k é	DB
