# Wordlist

# DATA
ID	CONCEPT	DOCULECT	COUNTERPART	TOKENS	CONCEPT_LIST	VARIANTS
595	(Existential particle, with 'be' and 'have')	Donno_So	yɔ́	j ɔ ˦	DB	j i ˦ // j e ˦
577	(Existential particle, with 'be' and 'have')	Bunoge	bò	b o ˨	DB	
578	(Existential particle, with 'be' and 'have')	Dogul_Dom	yò	j o ˨	DB	
583	(Existential particle, with 'be' and 'have')	Penange	ɛ̀	ɛ ˨	DB	ɛ̃ ˨
#
531	(e.g. bird) fly	Bankan_Tey	kísíyé	k i ˦ s i ˦ j e ˦	DB	
532	(e.g. bird) fly	Ben_Tey	kísíyé	k i ˦ s i ˦ j e ˦	DB	
533	(e.g. bird) fly	Bunoge	píllè	p i ˦ l l e ˨	DB	
534	(e.g. bird) fly	Gourou	píré	p i ˦ r e ˦	DB	
535	(e.g. bird) fly	Jamsay_Douentza	círé	tʃ i ˦ r e ˦	DB	
536	(e.g. bird) fly	Mombo	pílyê:	p i ˦ l j eː ˥˩	DB	
537	(e.g. bird) fly	Najamba	pílíy	p i ˦ l i ˦ j	DB	p i ˦ r i ˦ j // p i ˨ r i ˨ j e ˨ // p i ˨ l i ˨ j e ˨
541	(e.g. bird) fly	Nanga	kísíyé	k i ˦ s i ˦ j e ˦	DB	
542	(e.g. bird) fly	Penange	pírígè	p i ˦ r i ˦ ɡ e ˨	DB	
543	(e.g. bird) fly	Perge_Tegu	kíríyé	k i ˦ r i ˦ j e ˦	DB	
544	(e.g. bird) fly	Tebul_Ure	cíllí:	tʃ i ˦ l l iː ˦	DB	
546	(e.g. bird) fly	Togo_Kan	kìrí kírì:	k i ˨ r i ˦ # k i ˦ r iː ˨	DB	
547	(e.g. bird) fly	Tommo_So	kíílíyé	k iː ˦ l i ˦ j e ˦	DB	
548	(e.g. bird) fly	Toro_Tegu	círó	tʃ i ˦ r o ˦	DB	tʃ i ˦ r u ˦
550	(e.g. bird) fly	Yanda_Dom	kílíyé	k i ˦ l i ˦ j e ˦	DB	k i ˦ l i ˦ j e ˦ l i ˨
552	(e.g. bird) fly	Yorno_So	kílɛ́:	k i ˦ l ɛː ˦	DB	k i ˦ l iː ˦
554	(e.g. bird) fly	Donno_So	kíl-è:-	k i ˦ l eː ˨	DB	k i ˦ l i ˨ j ˨
545	(e.g. bird) fly	Tiranige	pílíyó	p i ˦ l i ˦ j o ˦	DB	
#
1033	(plant) sprout, come up (verb)	Bangime	púr̃á	p u ˦ r̃ a ˦	DB,SW	
1034	(plant) sprout, come up (verb)	Bankan_Tey	tíyɛ́	t i ˦ j ɛ ˦	DB,SW	
1035	(plant) sprout, come up (verb)	Ben_Tey	tíyɛ́	t i ˦ j ɛ ˦	DB,SW	
1036	(plant) sprout, come up (verb)	Bunoge	pújè	p u ˦ dʒ e ˨	DB,SW	
1037	(plant) sprout, come up (verb)	Dogul_Dom	tìyɛ́	t i ˨ j ɛ ˦	DB,SW	
1038	(plant) sprout, come up (verb)	Gourou	tɔ́gɔ́	t ɔ ˦ ɡ ɔ ˦	DB,SW	
1039	(plant) sprout, come up (verb)	Jamsay_Douentza	tɔ́ɣɔ́	t ɔ ˦ ɣ ɔ ˦	DB,SW	
1040	(plant) sprout, come up (verb)	Mombo	kɛ́lɛ́	k ɛ ˦ l ɛ ˦	DB,SW	
1041	(plant) sprout, come up (verb)	Najamba	tɛ́:	t ɛː ˦	DB,SW	t ɛː ˨
1043	(plant) sprout, come up (verb)	Nanga	tɛ́:	t ɛː ˦	DB,SW	
1044	(plant) sprout, come up (verb)	Penange	kɛ́lɛ́	k ɛ ˦ l ɛ ˦	DB,SW	
1045	(plant) sprout, come up (verb)	Perge_Tegu	tɔ́gɔ́	t ɔ ˦ ɡ ɔ ˦	DB,SW	
1046	(plant) sprout, come up (verb)	Tebul_Ure	tɛ́	t ɛ ˦	DB,SW	
1047	(plant) sprout, come up (verb)	Tiranige	sɔ́wɔ́	s ɔ ˦ w ɔ ˦	DB,SW	
1048	(plant) sprout, come up (verb)	Togo_Kan	tɔ́:	t ɔː ˦	DB,SW	
1049	(plant) sprout, come up (verb)	Tommo_So	sɔ́bɔ́	s ɔ ˦ b ɔ ˦	DB,SW	t u ˦ m m ɔ ˦
1052	(plant) sprout, come up (verb)	Toro_Tegu	bɛ̌w	b ɛ ˩˥ w	DB,SW	b ɛ ˨ w a ˦
1054	(plant) sprout, come up (verb)	Yanda_Dom	tɛ́yálì	t ɛ ˦ j a ˦ l i ˨	DB,SW	t ɛː ˦
1056	(plant) sprout, come up (verb)	Yorno_So	tɛ́:	t ɛː ˦	DB,SW	
1057	(plant) sprout, come up (verb)	Donno_So	tɛ̂:	t ɛː ˥˩	DB,SW	t ɛ ˦ ɛ ˨ // p u ˦ d o ˨ // p u ˦ d e ˨
#
1072	(political) chief, boss	Bangime	déɡè ʃíjɛ̀ⁿ	d e ˦ ɡ e ˨ # ʃ i ˦ dʒ ɛ̃ ˨	DB,SW	
1073	(political) chief, boss	Bankan_Tey	ámbí:rì	a ˦ m b iː ˦ r i ˨	DB,SW	
1074	(political) chief, boss	Ben_Tey	ámbí:rù	a ˦ m b iː ˦ r u ˨	DB,SW	
1075	(political) chief, boss	Bunoge	ʔàmì:rú	ʔ a ˨ m iː ˨ r u ˦	DB,SW	
1076	(political) chief, boss	Dogul_Dom	ámɛ̀ɛ̀rɛ̀	a ˦ m ɛː ˨ r ɛ ˨	DB,SW	
1077	(political) chief, boss	Gourou	ámí:rù	a ˦ m iː ˦ r u ˨	DB,SW	
1078	(political) chief, boss	Jamsay_Douentza	ámí:rⁿu	a ˦ m iː ˦ r̃ u	DB,SW	
1079	(political) chief, boss	Mombo	ámílì	a ˦ m i ˦ l i ˨	DB,SW	
1080	(political) chief, boss	Najamba	ámbìrì	a ˦ m b i ˨ r i ˨	DB,SW	a ˦ m b i ˨ r i ˨ m b o ˨ // k iː ˥˩ // k iː ˥˩ m b o ˨
1084	(political) chief, boss	Nanga	ámbérì	a ˦ m b e ˦ r i ˨	DB,SW	
1085	(political) chief, boss	Penange	kó:	k oː ˦	DB,SW	
1086	(political) chief, boss	Perge_Tegu	ámírù	a ˦ m i ˦ r u ˨	DB,SW	
1088	(political) chief, boss	Tebul_Ure	ámbírí	a ˦ m b i ˦ r i ˦	DB,SW	a ˦ m b i ˦ r i ˦ m b o ˨
1090	(political) chief, boss	Tiranige	àmìrí	a ˨ m i ˨ r i ˦	DB,SW	
1091	(political) chief, boss	Togo_Kan	ámírⁿí	a ˦ m i ˦ r̃ i ˦	DB,SW	
1092	(political) chief, boss	Tommo_So	díɛ̀m	d i ˦ ɛ ˨ m	DB,SW	d i ˦ ɛ ˨ n ɛ ˨ // k uː ˨ # b a ˨ ŋ aː ˦ // p a ˨ t r ɔ ˦
1096	(political) chief, boss	Toro_Tegu	kú bàsà	k u ˦ # b a ˨ s a ˨	DB,SW	
1097	(political) chief, boss	Yanda_Dom	ámìrù	a ˦ m i ˨ r u ˨	DB,SW	k o ˦ # b a ˦ d u ˨
1099	(political) chief, boss	Yorno_So	ámìrù	a ˦ m i ˨ r u ˨	DB,SW	
1100	(political) chief, boss	Donno_So	kû:-nɔ̀	k uː ˥˩ n ɔ ˨	DB,SW	k uː ˥˩ # b a ˨ ŋ a ˦ // a ˦ m iː ˨ r u ˨
#
1156	(rain) fall (verb only)	Bangime	ʒóɔ̀ⁿ	ʒ o ˦ ɔ̃ ˨	DB,SW	
1157	(rain) fall (verb only)	Bankan_Tey	mìrⁿɛ́	m i ˨ r̃ ɛ ˦	DB,SW	
1158	(rain) fall (verb only)	Ben_Tey	mìrⁿɛ́	m i ˨ r̃ ɛ ˦	DB,SW	
1159	(rain) fall (verb only)	Bunoge	ɲî:	ɲ iː ˥˩	DB,SW	
1160	(rain) fall (verb only)	Dogul_Dom	wɛ̀ɛ́	w ɛː ˩˥	DB,SW	
1161	(rain) fall (verb only)	Gourou	mìrⁿé	m i ˨ r̃ e ˦	DB,SW	
1162	(rain) fall (verb only)	Jamsay_Douentza	mìrⁿé	m i ˨ r̃ e ˦	DB,SW	
1163	(rain) fall (verb only)	Mombo	píjé	p i ˦ dʒ e ˦	DB,SW	
1164	(rain) fall (verb only)	Najamba	tɛ́gɛ́	t ɛ ˦ ɡ ɛ ˦	DB,SW	
1165	(rain) fall (verb only)	Nanga	mìrⁿé	m i ˨ r̃ e ˦	DB,SW	w ɔː ˩˥
1167	(rain) fall (verb only)	Penange	wwɛ́:	w w ɛː ˦	DB,SW	
1168	(rain) fall (verb only)	Perge_Tegu	mìrⁿé	m i ˨ r̃ e ˦	DB,SW	
1170	(rain) fall (verb only)	Tebul_Ure	mìrⁿɛ́	m i ˨ r̃ ɛ ˦	DB,SW	
1171	(rain) fall (verb only)	Tiranige	tɛ́gɔ́	t ɛ ˦ ɡ ɔ ˦	DB,SW	
1172	(rain) fall (verb only)	Togo_Kan	lɔ́wɔ́	l ɔ ˦ w ɔ ˦	DB,SW	
1173	(rain) fall (verb only)	Tommo_So	mìyɛ́	m i ˨ j ɛ ˦	DB,SW	
1174	(rain) fall (verb only)	Toro_Tegu	mùrɔ́	m u ˨ r ɔ ˦	DB,SW	m u ˨ r u ˦
1176	(rain) fall (verb only)	Yanda_Dom	tɛ́gɛ́	t ɛ ˦ ɡ ɛ ˦	DB,SW	
1177	(rain) fall (verb only)	Yorno_So	mɛ̌:	m ɛː ˩˥	DB,SW	
1178	(rain) fall (verb only)	Donno_So	mɛ̌:	m ɛː ˩˥	DB,SW	m ɛ ˦ ɛ ˨
#
1255	(sb, mammal) bite (sb)	Bangime	támbà/táw̃à	t a ˦ m b a ˨ t a ˦ w̃ a ˨	DB,LJ	
1256	(sb, mammal) bite (sb)	Bankan_Tey	kúwó	k u ˦ w o ˦	DB,LJ	
1257	(sb, mammal) bite (sb)	Ben_Tey	kúwó	k u ˦ w o ˦	DB,LJ	
1258	(sb, mammal) bite (sb)	Bunoge	núnjè	n u ˦ n dʒ e ˨	DB,LJ	
1259	(sb, mammal) bite (sb)	Gourou	kɛ́rɛ́	k ɛ ˦ r ɛ ˦	DB,LJ	
1260	(sb, mammal) bite (sb)	Jamsay_Douentza	cɛ́rɛ́	tʃ ɛ ˦ r ɛ ˦	DB,LJ	
1262	(sb, mammal) bite (sb)	Mombo	núŋgɛ́	n u ˦ ŋ ɡ ɛ ˦	DB,LJ	
1263	(sb, mammal) bite (sb)	Najamba	kɛ́rɛ́	k ɛ ˦ r ɛ ˦	DB,LJ	
1264	(sb, mammal) bite (sb)	Nanga	kúwó	k u ˦ w o ˦	DB,LJ	
1265	(sb, mammal) bite (sb)	Penange	núŋgɛ́	n u ˦ ŋ ɡ ɛ ˦	DB,LJ	
1266	(sb, mammal) bite (sb)	Perge_Tegu	kɛ́rɛ́	k ɛ ˦ r ɛ ˦	DB,LJ	
1268	(sb, mammal) bite (sb)	Tebul_Ure	cɛ́rɛ́	tʃ ɛ ˦ r ɛ ˦	DB,LJ	
1269	(sb, mammal) bite (sb)	Tiranige	cɛ́rɔ́	tʃ ɛ ˦ r ɔ ˦	DB,LJ	
1270	(sb, mammal) bite (sb)	Togo_Kan	kɛ́rɛ́	k ɛ ˦ r ɛ ˦	DB,LJ	
1271	(sb, mammal) bite (sb)	Tommo_So	kɛ́rɛ́	k ɛ ˦ r ɛ ˦	DB,LJ	
1272	(sb, mammal) bite (sb)	Toro_Tegu	cɛ́rá	tʃ ɛ ˦ r a ˦	DB,LJ	tʃ ɛ ˦ r u ˦
1274	(sb, mammal) bite (sb)	Yanda_Dom	kɛ́dálì	k ɛ ˦ d a ˦ l i ˨	DB,LJ	k ɛ ˦ d ɛ ˦
1276	(sb, mammal) bite (sb)	Yorno_So	kɛ́rɛ́	k ɛ ˦ r ɛ ˦	DB,LJ	
1277	(sb, mammal) bite (sb)	Donno_So	kɛ́rɛ̀	k ɛ ˦ r ɛ ˨	DB,LJ	k ɛ ˦ r ɛ ˨
#
1318	(single) grain, seed, nut	Bangime	bùrù	b u ˨ r u ˨	DB,SW	
1319	(single) grain, seed, nut	Bankan_Tey	ìsâ:	i ˨ s aː ˥˩	DB,SW	
1320	(single) grain, seed, nut	Ben_Tey	ìsâ:	i ˨ s aː ˥˩	DB,SW	j iː ˥˩
1322	(single) grain, seed, nut	Bunoge	sè:	s eː ˨	DB,SW	
1323	(single) grain, seed, nut	Dogul_Dom	dèné	d e ˨ n e ˦	DB,SW	s a ˦ j ˨
1325	(single) grain, seed, nut	Gourou	î:ⁿ	ĩː ˥˩	DB,SW	
1326	(single) grain, seed, nut	Jamsay_Douentza	sɛ̌yⁿ	s ɛ ˩˥ j̃	DB,SW	
1328	(single) grain, seed, nut	Mombo	sí:	s iː ˦	DB,SW	
1329	(single) grain, seed, nut	Najamba	sê:	s eː ˥˩	DB,SW	s eː ˥˩ ŋ ɡ o ˨
1331	(single) grain, seed, nut	Nanga	ǹjâ	n ˨ dʒ a ˥˩	DB,SW	
1332	(single) grain, seed, nut	Penange	sè:	s eː ˨	DB,SW	
1333	(single) grain, seed, nut	Perge_Tegu	ìšɛ̌yⁿ	i ˨ ʃ ɛ ˩˥ j̃	DB,SW	
1335	(single) grain, seed, nut	Tebul_Ure	íyɛ́	i ˦ j ɛ ˦	DB,SW	
1336	(single) grain, seed, nut	Tiranige	séŋgé	s e ˦ ŋ ɡ e ˦	DB,SW	
1337	(single) grain, seed, nut	Togo_Kan	í:ⁿ	ĩː ˦	DB,SW	
1338	(single) grain, seed, nut	Tommo_So	ìsǎy	i ˨ s a ˩˥ j	DB,SW	iː ˦
1341	(single) grain, seed, nut	Toro_Tegu	ìsɛ̌yⁿ	i ˨ s ɛ ˩˥ j̃	DB,SW	
1342	(single) grain, seed, nut	Yanda_Dom	é:	eː ˦	DB,SW	
1343	(single) grain, seed, nut	Yorno_So	î:	iː ˥˩	DB,SW	
1344	(single) grain, seed, nut	Donno_So	î:	iː ˥˩	DB,SW	
#
1345	(snake) bite (sb)	Bangime	táw̃á	t a ˦ w̃ a ˦	DB,SW	
1346	(snake) bite (sb)	Bankan_Tey	kúwó	k u ˦ w o ˦	DB,SW	
1347	(snake) bite (sb)	Ben_Tey	kúwó	k u ˦ w o ˦	DB,SW	
1348	(snake) bite (sb)	Dogul_Dom	kɛ̀rɛ́	k ɛ ˨ r ɛ ˦	DB,SW	
1349	(snake) bite (sb)	Gourou	kɛ́rɛ́	k ɛ ˦ r ɛ ˦	DB,SW	
1350	(snake) bite (sb)	Jamsay_Douentza	cɛ́rɛ́	tʃ ɛ ˦ r ɛ ˦	DB,SW	
1351	(snake) bite (sb)	Mombo	núŋgɛ́	n u ˦ ŋ ɡ ɛ ˦	DB,SW	
1352	(snake) bite (sb)	Najamba	kɛ́rɛ́	k ɛ ˦ r ɛ ˦	DB,SW	
1353	(snake) bite (sb)	Nanga	kúwó	k u ˦ w o ˦	DB,SW	
1354	(snake) bite (sb)	Perge_Tegu	kɛ́rɛ́	k ɛ ˦ r ɛ ˦	DB,SW	
1356	(snake) bite (sb)	Tiranige	cɛ́rɔ́	tʃ ɛ ˦ r ɔ ˦	DB,SW	
1357	(snake) bite (sb)	Togo_Kan	kɛ́rɛ́	k ɛ ˦ r ɛ ˦	DB,SW	
1358	(snake) bite (sb)	Tommo_So	kɛ́rɛ́	k ɛ ˦ r ɛ ˦	DB,SW	
1359	(snake) bite (sb)	Toro_Tegu	cɛ́rá	tʃ ɛ ˦ r a ˦	DB,SW	tʃ ɛ ˦ r u ˦
1361	(snake) bite (sb)	Yanda_Dom	kɛ́dálì	k ɛ ˦ d a ˦ l i ˨	DB,SW	k ɛ ˦ d ɛ ˦
1363	(snake) bite (sb)	Yorno_So	kɛ́rɛ́	k ɛ ˦ r ɛ ˦	DB,SW	
1364	(snake) bite (sb)	Donno_So	kɛ́rɛ̀	k ɛ ˦ r ɛ ˨	DB,SW	k ɛ ˦ r ɛ ˨
#
4740	I am (copula, with noun)	Bankan_Tey	≡mì	m i ˨	DB	
4741	I am (copula, with noun)	Ben_Tey	=m̀íỳ	m ˨ i ˦ j ˨	DB	
4742	I am (copula, with noun)	Bunoge	mì	m i ˨	DB	
4743	I am (copula, with noun)	Dogul_Dom	y	j	DB	
4744	I am (copula, with noun)	Jamsay_Douentza	≡ùm	u ˨ m	DB	
4745	I am (copula, with noun)	Mombo	ḿbô:	m ˦ b oː ˥˩	DB	
4746	I am (copula, with noun)	Najamba	=m̀	m ˨	DB	
4747	I am (copula, with noun)	Nanga	=mí	m i ˦	DB	
4748	I am (copula, with noun)	Penange	mí yó	m i ˦ # j o ˦	DB	
4749	I am (copula, with noun)	Perge_Tegu	=ùm	u ˨ m	DB	
4751	I am (copula, with noun)	Tebul_Ure	ɲɛ́:=ḿ	ɲ ɛː ˦ m ˦	DB	
4752	I am (copula, with noun)	Tiranige	mì=ẁⁿ	m i ˨ w̃ ˨	DB	
4753	I am (copula, with noun)	Togo_Kan	íⁿ=y	ĩ ˦ j	DB	
4754	I am (copula, with noun)	Tommo_So	m	m	DB	ɲ
4756	I am (copula, with noun)	Toro_Tegu	mí	m i ˦	DB	
4757	I am (copula, with noun)	Yanda_Dom	=m̀	m ˨	DB	
4758	I am (copula, with noun)	Yorno_So	mú=y	m u ˦ j	DB	
4759	I am (copula, with noun)	Donno_So	=ŋ	ŋ	DB	
#
1465	above (sth)	Bankan_Tey	ḿbárù wò	m ˦ b a ˦ r u ˨ # w o ˨	DB	
1466	above (sth)	Ben_Tey	wò	w o ˨	DB	
1467	above (sth)	Bunoge	mbà	m b a ˨	DB	
1468	above (sth)	Jamsay_Douentza	mà máná lé	m a ˨ # m a ˦ n a ˦ # l e ˦	DB	
1469	above (sth)	Mombo	kó:ná ńdà	k oː ˦ n a ˦ # n ˦ d a ˨	DB	
1470	above (sth)	Najamba	mà	m a ˨	DB	
1471	above (sth)	Nanga	gà	ɡ a ˨	DB	
1472	above (sth)	Penange	dálà bà	d a ˦ l a ˨ # b a ˨	DB	
1473	above (sth)	Perge_Tegu	wà kù:kɛ́lɛ̀	w a ˨ # k uː ˨ k ɛ ˦ l ɛ ˨	DB	
1474	above (sth)	Tebul_Ure	nɛ̀	n ɛ ˨	DB	
1475	above (sth)	Tiranige	ŋà	ŋ a ˨	DB	
1476	above (sth)	Togo_Kan	kûⁿ	k ũ ˥˩	DB	
1477	above (sth)	Tommo_So	dáá nɛ	d aː ˦ # n ɛ	DB	k uː ˦ # n ɛ
1479	above (sth)	Toro_Tegu	tùŋɔ̀	t u ˨ ŋ ɔ ˨	DB	
1480	above (sth)	Yanda_Dom	nà	n a ˨	DB	
1481	above (sth)	Yorno_So	nɛ̀	n ɛ ˨	DB	
1482	above (sth)	Dogul_Dom	dànà-ŋ̀ dà:	d a ˨ n a ˨ ŋ ˨ # d aː ˨	DB	
1483	above (sth)	Donno_So	dà: rà:	d aː ˨ # r aː ˨	DB	
#
1509	all, every	Bangime	páⁿ	p ã ˦	DB,SW	
1510	all, every	Bankan_Tey	bê:	b eː ˥˩	DB,SW	
1511	all, every	Ben_Tey	dàⁿwôy	d ã ˨ w o ˥˩ j	DB,SW	d o ˨ w o ˥˩ j // n a ˦ ŋ a ˨ n aː ˨ // n a ˦ ŋ n aː ˨ // tʃ ɛ ˥˩ m // tʃ ɛ ˥˩ w // w o ˥˩ j
1518	all, every	Bunoge	kúndú	k u ˦ n d u ˦	DB,SW	s a ˨ k a ˦ j
1520	all, every	Dogul_Dom	fú	f u ˦	DB,SW	
1521	all, every	Gourou	kɛ̂w	k ɛ ˥˩ w	DB,SW	
1522	all, every	Jamsay_Douentza	fú:	f uː ˦	DB,SW	s o ˦ j // tʃ ɛ ˥˩ w
1526	all, every	Mombo	sélè:	s e ˦ l eː ˨	DB,SW	
1527	all, every	Najamba	dîn	d i ˥˩ n	DB,SW	
1528	all, every	Nanga	bé:ndè	b eː ˦ n d e ˨	DB,SW	b u ˦ // f u ˦ // k e ˦ r e ˦ w // p ɔ ˦ s // p u ˦
1534	all, every	Penange	sèlè	s e ˨ l e ˨	DB,SW	
1535	all, every	Perge_Tegu	kéréw	k e ˦ r e ˦ w	DB,SW	k ɛ ˥˩ w // p u ˦
1539	all, every	Tiranige	címà	tʃ i ˦ m a ˨	DB,SW	
1540	all, every	Togo_Kan	sâⁿ	s ã ˥˩	DB,SW	
1541	all, every	Tommo_So	kɛ́m	k ɛ ˦ m	DB,SW	
1542	all, every	Toro_Tegu	kěylèyà:fú:	k e ˩˥ j l e ˨ j aː ˨ f uː ˦	DB,SW	k o ˩˥ w l e ˨ j aː ˨ f uː ˦ // tʃ e ˩˥ w l aː ˨ f uː ˦ // tʃ ɛ ˩˥ j j aː ˨ f uː ˦
1546	all, every	Yanda_Dom	pú	p u ˦	DB,SW	tʃ ɛ ˥˩ m
1548	all, every	Yorno_So	pú	p u ˦	DB,SW	
1549	all, every	Tebul_Ure	pú→	p u ˦	DB,SW	
1550	all, every	Donno_So	wôy	w o ˥˩ j	DB,SW	f u ˥˩ // p u ˥˩ // s ɛː ˦ n ɛ ˨ ŋ // n a ˨ n a ˥˩ ŋ
#
1623	animal fat (in meat)	Bankan_Tey	sî:ⁿ	s ĩː ˥˩	DB	
1624	animal fat (in meat)	Ben_Tey	sî:ⁿ	s ĩː ˥˩	DB	
1625	animal fat (in meat)	Bunoge	sìwò	s i ˨ w o ˨	DB	
1626	animal fat (in meat)	Dogul_Dom	síìŋ	s iː ˥˩ ŋ	DB	
1627	animal fat (in meat)	Jamsay_Douentza	sê:	s eː ˥˩	DB	
1629	animal fat (in meat)	Mombo	síwó	s i ˦ w o ˦	DB	
1630	animal fat (in meat)	Najamba	sî:	s iː ˥˩	DB	s iː ˥˩ ŋ ɡ o ˨
1632	animal fat (in meat)	Nanga	síyⁿɛ̂	s i ˦ j̃ ɛ ˥˩	DB	
1633	animal fat (in meat)	Penange	nù:	n uː ˨	DB	
1634	animal fat (in meat)	Perge_Tegu	šíyè	ʃ i ˦ j e ˨	DB	
1636	animal fat (in meat)	Tebul_Ure	sé:	s eː ˦	DB	
1637	animal fat (in meat)	Tiranige	sìyò	s i ˨ j o ˨	DB	
1638	animal fat (in meat)	Togo_Kan	nɔ̀wⁿɔ̀síwé	n ɔ ˨ w̃ ɔ ˨ s i ˦ w e ˦	DB	
1642	animal fat (in meat)	Toro_Tegu	síwó	s i ˦ w o ˦	DB	
1639	animal fat (in meat)	Tommo_So	nàmà síyé	n a ˨ m a ˨ # s i ˦ j e ˦	DB	
1644	animal fat (in meat)	Yorno_So	sî:	s iː ˥˩	DB	
1643	animal fat (in meat)	Yanda_Dom	sɔ́ŋɔ̀	s ɔ ˦ ŋ ɔ ˨	DB	
1645	animal fat (in meat)	Donno_So	sê:ⁿ	s eː ˥˩ ⁿ	DB	
#
1666	ashes	Bangime	túɥɛ̀	t u ˦ ɥ ɛ ˨	DB,LJ,SW	
1668	ashes	Ben_Tey	dɔ̀yⁿɔ̌yⁿ	d ɔ ˨ j̃ ɔ ˩˥ j̃	DB,LJ,SW	
1669	ashes	Bunoge	díwɔ̀	d i ˦ w ɔ ˨	DB,LJ,SW	
1670	ashes	Dogul_Dom	dɔ́ɔ̀	d ɔː ˥˩	DB,LJ,SW	
1671	ashes	Gourou	ɛ́:rⁿɛ̀	ɛː ˦ r̃ ɛ ˨	DB,LJ,SW	
1672	ashes	Jamsay_Douentza	dɔ̀yⁿɔ́	d ɔ ˨ j̃ ɔ ˦	DB,LJ,SW	
1673	ashes	Mombo	dwɛ̂:	d w ɛː ˥˩	DB,LJ,SW	
