ID	CONCEPT	DOCULECT	COUNTERPART	TOKENS	CONCEPT_LIST
47	(causative suffix, with minor variants parenthesized)	Tomo_Kan_Diangassagou	-mí	m i ˦	DB
48	(causative suffix, with minor variants parenthesized)	Donno_So	-mv	m v	DB
49	(causative suffix, with minor variants parenthesized)	Donno_So	-gvlv	ɡ v l v	DB
50	(Dative postposition)	Tebul_Ure	bènè	b e ˨ n e ˨	DB
51	(Dative postposition)	Donno_So	lè	l e ˨	DB
52	(definite, invariant morpheme)	Dogul_Dom	ŋ̀	ŋ ˨	DB
53	(definite, invariant morpheme)	Donno_So	gɔ̀	ɡ ɔ ˨	DB
54	(definite, invariant morpheme)	Donno_So	ɔ̀	ɔ ˨	DB
55	(e.g. bird) fly	Donno_So	kíl-è:-	k i ˦ l eː ˨	DB
56	(e.g. bird) fly	Donno_So	kíl-ì-ỳ	k i ˦ l i ˨ j ˨	DB
57	(e.g. tire, balloon) be inflated	Donno_So	jǒ:	dʒ oː ˩˥	DB
58	(e.g. tire, balloon) be inflated	Donno_So	jó-è	dʒ o ˦ e ˨	DB
59	(Existential particle, with 'be' and 'have')	Donno_So	yɔ́	j ɔ ˦	DB
60	(Existential particle, with 'be' and 'have')	Donno_So	yí	j i ˦	DB
61	(Existential particle, with 'be' and 'have')	Donno_So	yé	j e ˦	DB
62	(future negative suffix)	Donno_So	-rí	r i ˦	DB
63	(future-time same-subject anterior subordinator, e.g. before imperative)	Donno_So	-a:-nì	aː n i ˨	DB
64	(general imperfective positive suffix, present and future, for all persons)	Donno_So	-dɛ̀	d ɛ ˨	DB
65	(general imperfective positive suffix, present and future, for all persons)	Donno_So	-jɛ̀	dʒ ɛ ˨	DB
66	(hortative negative Sg suffix)	Donno_So	-nnì	n n i ˨	DB
67	(hortative positive suffix, for you-Pl and me)	Donno_So	-mɔ-ŋ̀	m ɔ ŋ ˨	DB
68	(hortative positive suffix, for you-Sg and me)	Donno_So	-mɔ	m ɔ	DB
69	(human plural suffix excluding animals, nouns)	Mombo	-ŋge	ŋ ɡ e	DB
70	(human plural suffix excluding animals, nouns)	Mombo	'-ge	? ɡ e	DB
71	(human plural suffix excluding animals, nouns)	Donno_So	-ŋ	ŋ	DB
72	(human singular suffix excluding animals, nouns)	Donno_So	-nɔ	n ɔ	DB
73	(human singular suffix excluding animals, nouns)	Donno_So	-nɛ	n ɛ	DB
74	(human singular suffix excluding animals, nouns)	Donno_So	-na	n a	DB
75	(Imperative positive Pl suffix)	Donno_So	-ŋ̀	ŋ ˨	DB
76	(imperfective negative suffix, all persons)	Donno_So	-ɛ̀lɛ̀	ɛ ˨ l ɛ ˨	DB
77	(Instrumental postposition)	Dogul_Dom	yàŋ	j a ˨ ŋ	DB
78	(Instrumental postposition)	Donno_So	lè	l e ˨	DB
79	(Locative, basic postposition)	Donno_So	dà: 	d aː ˨	DB
80	(Locative, basic postposition)	Donno_So	 rà:	r aː ˨	DB
81	(Locative, basic postposition)	Donno_So	nì 	n i ˨	DB
82	(Locative, basic postposition)	Donno_So	 nɛ̀	n ɛ ˨	DB
83	(logophoric singular pronoun)	Dogul_Dom	mmɛ́	m m ɛ ˦	DB
84	(logophoric singular pronoun)	Donno_So	ǹjèmɛ́	n ˨ dʒ e ˨ m ɛ ˦	DB
85	(mediopassive/middle suffix, with minor variants parenthesized)	Mombo	-yɛ̂: 	j ɛː ˥˩	DB
86	(mediopassive/middle suffix, with minor variants parenthesized)	Mombo	 -yê:	j eː ˥˩	DB
87	(mediopassive/middle suffix, with minor variants parenthesized)	Donno_So	-ɛ:-	ɛː	DB
88	(mediopassive/middle suffix, with minor variants parenthesized)	Donno_So	-e:-	eː	DB
89	(mediopassive/middle suffix, with minor variants parenthesized)	Donno_So	-i:-	iː	DB
90	(negative suffix after sv- 'have')	Tebul_Ure	=ndɔ̀:	n d ɔː ˨	DB
91	(negative suffix after sv- 'have')	Donno_So	-lv́	l v ˦	DB
92	(negative suffix after wo-/ko- 'be')	Donno_So	-lv́	l v ˦	DB
93	(negative suffix or clitic after predicative adjective)	Tebul_Ure	=lá	l a ˦	DB
94	(negative suffix or clitic after predicative adjective)	Donno_So	wɔ̀-ĺ	w ɔ ˨ l	DB
95	(negative suffix or clitic after predicative adjective)	Donno_So	=lǎ:	l aː ˩˥	DB
96	(not) any	Donno_So	túrù-lɔ̀	t u ˦ r u ˨ l ɔ ˨	DB
97	(passive suffix or clitic)	Donno_So	-mv	m v	DB
98	(Past morpheme, conjugatable)	Tebul_Ure	=bì-	b i ˨	DB
99	(Past morpheme, conjugatable)	Donno_So	=be-	b e	DB
100	(perfective negative suffix)	Donno_So	-lí	l i ˦	DB
101	(perfective-2, e.g. -so/-sa/-sɛ)	Tebul_Ure	-sɔ̀-	s ɔ ˨	DB
102	(perfective-2, e.g. -so/-sa/-sɛ)	Donno_So	sɛ̀	s ɛ ˨	DB
103	(plant) sprout, come up (verb)	Donno_So	tɛ̂:	t ɛː ˥˩	DB
104	(plant) sprout, come up (verb)	Donno_So	tɛ́-ɛ̀	t ɛ ˦ ɛ ˨	DB
105	(plant) sprout, come up (verb)	Donno_So	púdò	p u ˦ d o ˨	DB
106	(plant) sprout, come up (verb)	Donno_So	púd-è	p u ˦ d e ˨	DB
107	(plural, free particle, not suffix)	Donno_So	-mbe	m b e	DB
108	(political) chief, boss	Donno_So	kû:-nɔ̀	k uː ˥˩ n ɔ ˨	DB
109	(political) chief, boss	Donno_So	kû: bàŋá	k uː ˥˩ # b a ˨ ŋ a ˦	DB,LJ
110	(political) chief, boss	Donno_So	ámì:rù	a ˦ m iː ˨ r u ˨	DB,LJ
111	(prohibitive Sg suffix)	Donno_So	-ẃ	w ˦	DB,LJ
112	(prohibitive Sg suffix)	Donno_So	-nǎw	n a ˩˥ w	DB,LJ
113	(quotative particle following the subject of a quoted sentence)	Dogul_Dom	wà:	w aː ˨	DB,LJ
114	(quotative particle following the subject of a quoted sentence)	Donno_So	wa	w a	DB,LJ
115	(quotative particle: indicate if not clause-final)	Donno_So	wa	w a	DB,LJ
116	(rain) fall (verb only)	Donno_So	mɛ̌:	m ɛː ˩˥	DB,LJ
117	(rain) fall (verb only)	Donno_So	mɛ́-ɛ̀	m ɛ ˦ ɛ ˨	DB,LJ
118	(reflexive object)	Penange	kò: ŋ	k oː ˨ # ŋ	DB,LJ
119	(reversive suffix, with minor variants parenthesized)	Mombo	-le 	l e	DB,LJ
120	(reversive suffix, with minor variants parenthesized)	Mombo	 -lɛ	l ɛ	DB,LJ
121	(reversive suffix, with minor variants parenthesized)	Donno_So	-lv	l v	DB,LJ
122	(sb or sth) be (somewhere)	Donno_So	wɔ̀	w ɔ ˨	DB,LJ
123	(sb, mammal) bite (sb)	Donno_So	kɛ́rɛ̀	k ɛ ˦ r ɛ ˨	DB,LJ
124	(sb, mammal) bite (sb)	Donno_So	kɛ́r-ɛ̀	k ɛ ˦ r ɛ ˨	DB,LJ
125	(sb, sth) be on (e.g. roof, tree)	Dogul_Dom	yè náŋà	j e ˨ # n a ˦ ŋ a ˨	DB,LJ
126	(sb, sth) be on (e.g. roof, tree)	Donno_So	rà: wɔ̀	r aː ˨ # w ɔ ˨	DB,LJ
127	(sb) not be (somewhere), be absent (suffixed)	Donno_So	wɔ̀-lɔ́	w ɔ ˨ l ɔ ˦	DB,LJ
128	(single) grain, seed, nut	Donno_So	î:	iː ˥˩	DB,LJ
129	(snake) bite (sb)	Donno_So	kɛ́rɛ̀	k ɛ ˦ r ɛ ˨	DB,LJ
130	(snake) bite (sb)	Donno_So	kɛ́r-ɛ̀	k ɛ ˦ r ɛ ˨	DB,LJ
131	(stative negative suffix or clitic)	Donno_So	-lv́	l v ˦	DB,LJ
132	(sth) not exist, there is/are not	Donno_So	wɔ̀-lɔ́	w ɔ ˨ l ɔ ˦	DB,LJ
133	(transitive verbal derivational suffix, often opposed to mediopassive)	Mombo	-rɛ̀ 	r ɛ ˨	DB,LJ
134	(transitive verbal derivational suffix, often opposed to mediopassive)	Mombo	 -rè	r e ˨	DB
135	(transitive verbal derivational suffix, often opposed to mediopassive)	Donno_So	-rv	r v	DB
136	(verbal noun suffix)	Donno_So	-du	d u	DB
137	above (sth)	Dogul_Dom	dànà-ŋ̀ dà:	d a ˨ n a ˨ ŋ ˨ # d aː ˨	DB
138	above (sth)	Donno_So	dà: rà:	d aː ˨ # r aː ˨	DB
139	African eggplant (similar to tomato) in two varieties	Donno_So	kɛ́lɛ̀	k ɛ ˦ l ɛ ˨	DB
140	all, every	Tebul_Ure	pú→	p u ˦	DB
141	all, every	Donno_So	wôy	w o ˥˩ j	DB
142	all, every	Donno_So	fû→	f u ˥˩	DB
143	all, every	Donno_So	pû→	p u ˥˩	DB
144	all, every	Donno_So	sɛ́:nɛ̀ŋ	s ɛː ˦ n ɛ ˨ ŋ	DB
145	all, every	Donno_So	nànâŋ	n a ˨ n a ˥˩ ŋ	DB
146	also, too	Tebul_Ure	là	l a ˨	DB
147	also, too	Donno_So	lè	l e ˨	DB
148	and (X and Y, nouns)	Penange	nì	n i ˨	DB
149	and (X and Y, nouns)	Penange	nì	n i ˨	DB
150	and (X and Y, nouns)	Ampari	róró	r o ˦ r o ˦	DB
151	and (X and Y, nouns)	Najamba	ma:	m aː	DB
152	and (X and Y, nouns)	Najamba	ma:	m aː	DB
153	and (X and Y, nouns)	Yanda_Dom	mì→	m i ˨	DB
154	and (X and Y, nouns)	Yanda_Dom	mì→	m i ˨	DB
155	and then ... (past-time different-subject anterior subordinator)	Donno_So	-a:	aː	DB
156	and then (past-time same-subject anterior subordinator)	Donno_So	-a:	aː	DB
157	animal fat (in meat)	Donno_So	sê:ⁿ	s eː ˥˩ ⁿ	DB
158	arm	Donno_So	nùmɔ́	n u ˨ m ɔ ˦	DB
159	ashes	Donno_So	úndɔ̀	u ˦ n d ɔ ˨	DB
160	back (body)	Donno_So	ùnnú	u ˨ n n u ˦	DB
161	bad, no good	Donno_So	pà:dɛ̂:	p aː ˨ d ɛː ˥˩	DB
162	be in (sth)	Dogul_Dom	yè dúlò	j e ˨ # d u ˦ l o ˨	DB
163	be in (sth)	Donno_So	tò:	t oː ˨	DB
164	be VPing (progressive positive suffix or aux)	Donno_So	-ẁ wɔ̀	w ˨ # w ɔ ˨	DB
165	be, it is (copula, with noun)	Donno_So	=ŋ	ŋ	DB
166	because	Donno_So	sà:bù lè	s aː ˨ b u ˨ # l e ˨	DB
167	become __ (with expressive adverbial, e.g. bě:-)	Yorno_So	bɛ̌:-	b ɛː ˩˥	DB
168	become __ (with expressive adverbial, e.g. bě:-)	Yorno_So	bǐ:	b iː ˩˥	DB
169	become __ (with expressive adverbial, e.g. bě:-)	Donno_So	bɛ̌:	b ɛː ˩˥	DB
170	become __ (with expressive adverbial, e.g. bě:-)	Donno_So	bí-ỳ	b i ˦ j ˨	DB
171	behind, at the rear of (sth)	Dogul_Dom	ǹdɔ̀-ŋ̀ dà:	n ˨ d ɔ ˨ ŋ ˨ # d aː ˨	DB
172	behind, at the rear of (sth)	Donno_So	ùnnɔ̀=ɔ̀ rà:	u ˨ n n ɔː ˨ # r aː ˨	DB
173	belly	Donno_So	bɛ̀rɛ̀-bɛ̀rɛ́	b ɛ ˨ r ɛ ˨ b ɛ ˨ r ɛ ˦	DB
174	beside, at the side of (sth)	Dogul_Dom	bòmbò là:	b o ˨ m b o ˨ # l aː ˨	DB
175	beside, at the side of (sth)	Donno_So	bòmbùrù dà:	b o ˨ m b u ˨ r u ˨ # d aː ˨	DB
176	big, large	Donno_So	pô:	p oː ˥˩	DB
177	bird (any)	Donno_So	sàdâ:	s a ˨ d aː ˥˩	DB
178	bitter (in taste)	Tebul_Ure	gálɛ̀:	ɡ a ˦ l ɛː ˨	DB
179	bitter (in taste)	Tebul_Ure	gál-ŋgɔ̀	ɡ a ˦ l ŋ ɡ ɔ ˨	DB
180	bitter (in taste)	Donno_So	gàllú	ɡ a ˨ l l u ˦	DB
181	black, dark	Donno_So	gɛ̂ŋ	ɡ ɛ ˥˩ ŋ	DB
182	blacksmith, member of blacksmith caste	Donno_So	írì-nɛ̀	i ˦ r i ˨ n ɛ ˨	DB
183	blacksmith, member of blacksmith caste	Donno_So	írì-ŋ	i ˦ r i ˨ ŋ	DB
184	blood	Donno_So	nî:	n iː ˥˩	DB
185	blow (horn, whistle)	Donno_So	póⁿ→ gɛ̌:	p õ ˦ # ɡ ɛː ˩˥	DB
186	blow on (e.g. fire)	Dogul_Dom	pú:rè	p uː ˦ r e ˨	DB
187	blow on (e.g. fire)	Donno_So	pú:rò	p uː ˦ r o ˨	DB
188	blow on (e.g. fire)	Donno_So	pú:r-ì	p uː ˦ r i ˨	DB
189	blow one's nose	Dogul_Dom	kìnjɔ́: ímbè	k i ˨ n dʒ ɔː ˦ # i ˦ m b e ˨	DB
190	blow one's nose	Donno_So	sínjè	s i ˦ n dʒ e ˨	DB
191	blow one's nose	Donno_So	sínj-è	s i ˦ n dʒ e ˨	DB
192	blunt, not sharp (blade)	Tebul_Ure	dùmbě:	d u ˨ m b eː ˩˥	DB
193	blunt, not sharp (blade)	Tebul_Ure	dùmbù-gó	d u ˨ m b u ˨ ɡ o ˦	DB
194	blunt, not sharp (blade)	Dogul_Dom	dùmbùgú	d u ˨ m b u ˨ ɡ u ˦	DB
195	blunt, not sharp (blade)	Donno_So	dùmbú	d u ˨ m b u ˦	DB
196	bone	Donno_So	kě:	k eː ˩˥	DB
197	breathe	Dogul_Dom	nínnù nìnné	n i ˦ n n u ˨ # n i ˨ n n e ˦	DB
198	breathe	Donno_So	nínnù nìnné	n i ˦ n n u ˨ # n i ˨ n n e ˦	DB
199	burn (e.g. paper, grass, fabric)	Tebul_Ure	tón	t o ˦ n	DB
200	burn (e.g. paper, grass, fabric)	Donno_So	tɛ́gɛ̀-rɛ̀	t ɛ ˦ ɡ ɛ ˨ r ɛ ˨	DB
201	burn (e.g. paper, grass, fabric)	Donno_So	tɛ́gì-r-ì	t ɛ ˦ ɡ i ˨ r i ˨	DB
202	carry (sth, on one's head)	Donno_So	dùyy-ɛ́:-	d u ˨ j j ɛː ˦	DB
203	carry (sth, on one's head)	Donno_So	dúyy-ì-ỳ	d u ˦ j j i ˨ j ˨	DB
204	cassava	Donno_So	bànàŋkù tànná	b a ˨ n a ˨ ŋ k u ˨ # t a ˨ n n a ˦	DB
205	child	Donno_So	î:	iː ˥˩	DB
206	child	Donno_So	úlù-ŋ	u ˦ l u ˨ ŋ	DB
207	circle	Donno_So	kòró	k o ˨ r o ˦	DB
208	clay	Dogul_Dom	tàrá	t a ˨ r a ˦	DB
209	clay	Donno_So	yàgú	j a ˨ ɡ u ˦	DB
210	cloud	Donno_So	ànàgùlùmmɔ́	a ˨ n a ˨ ɡ u ˨ l u ˨ m m ɔ ˦	DB
211	cold (e.g. water)	Tebul_Ure	cé:lè:	tʃ eː ˦ l eː ˨	DB
212	cold (e.g. water)	Tebul_Ure	cé:lù-gò	tʃ eː ˦ l u ˨ ɡ o ˨	DB
213	cold (e.g. water)	Tebul_Ure	cé:lù-mbò	tʃ eː ˦ l u ˨ m b o ˨	DB
214	cold (e.g. water)	Donno_So	kèllú	k e ˨ l l u ˦	DB
215	come	Tomo_Kan_Diangassagou	yɛ̀lɛ̀	j ɛ ˨ l ɛ ˨	DB
216	come	Donno_So	yɛ̀lɛ́	j ɛ ˨ l ɛ ˦	DB
217	come	Donno_So	yɛ́l-ɛ̀	j ɛ ˦ l ɛ ˨	DB
218	corn, maize	Donno_So	sàmɛ̀mmɛ́	s a ˨ m ɛ ˨ m m ɛ ˦	DB
219	count (things), recite (numbers)	Donno_So	yùgó	j u ˨ ɡ o ˦	DB
220	count (things), recite (numbers)	Donno_So	yúg-è	j u ˦ ɡ e ˨	DB
221	cow-pea	Donno_So	nǔŋ	n u ˩˥ ŋ	DB
222	cow, bull (any bovine)	Donno_So	nàŋá	n a ˨ ŋ a ˦	DB
223	cultivated sesame (Sesamum indicum)	Ampari	ɛ̀ndɛ̀-pɛ́rì	ɛ ˨ n d ɛ ˨ p ɛ ˦ r i ˨	DB
224	cultivated sesame (Sesamum indicum)	Dogul_Dom	pàlé:	p a ˨ l eː ˦	DB
225	cultivated sesame (Sesamum indicum)	Donno_So	pɔ̀lî:	p ɔ ˨ l iː ˥˩	DB
226	cut off (branch)	Donno_So	kɛ́dɛ̀	k ɛ ˦ d ɛ ˨	DB
227	cut off (branch)	Donno_So	kɛ́d-ɛ̀	k ɛ ˦ d ɛ ˨	DB
228	daytime (not night)	Donno_So	nàn-dènú	n a ˨ n d e ˨ n u ˦	DB
229	die	Donno_So	yímè	j i ˦ m e ˨	DB
230	die	Donno_So	yím-è	j i ˦ m e ˨	DB
231	dig (sth)	Dogul_Dom	gànjé	ɡ a ˨ n dʒ e ˦	DB
232	dig (sth)	Dogul_Dom	gùlé	ɡ u ˨ l e ˦	DB
233	dig (sth)	Donno_So	wànjá	w a ˨ n dʒ a ˦	DB
234	dig (sth)	Donno_So	wánj-ì	w a ˦ n dʒ i ˨	DB
235	dirty	Donno_So	nɛ́m-ì-ỳ	n ɛ ˦ m i ˨ j ˨	DB
236	do, make	Donno_So	kánà	k a ˦ n a ˨	DB
237	do, make	Donno_So	kán-ì	k a ˦ n i ˨	DB,LJ
238	dog	Donno_So	ìdú	i ˨ d u ˦	DB,LJ
239	domestic animal (esp. livestock)	Donno_So	bɛ̀lú	b ɛ ˨ l u ˦	DB,LJ
240	drink (sth)	Donno_So	nɔ̌:	n ɔː ˩˥	DB,LJ
241	drink (sth)	Donno_So	nɔ́-ɛ̀	n ɔ ˦ ɛ ˨	DB,LJ
242	dry (adjective)	Donno_So	mǎy	m a ˩˥ j	DB,LJ
243	dust	Donno_So	pùrgǔŋ	p u ˨ r ɡ u ˩˥ ŋ	DB,LJ
244	each	Donno_So	wôy	w o ˥˩ j	DB,LJ
245	ear	Donno_So	súgùlù	s u ˦ ɡ u ˨ l u ˨	DB,LJ
246	earth (as brick mix or to repair walls)	Dogul_Dom	ɲùmɛ́	ɲ u ˨ m ɛ ˦	DB,LJ
247	earth (as brick mix or to repair walls)	Dogul_Dom	pɔ́ndù	p ɔ ˦ n d u ˨	DB,LJ
248	earth (as brick mix or to repair walls)	Donno_So	ímnì	i ˦ m n i ˨	DB,LJ
249	easy (work)	Tebul_Ure	nà:rⁿá	n aː ˨ r̃ a ˦	DB,LJ
250	easy (work)	Donno_So	nàná	n a ˨ n a ˦	DB,LJ
251	eat (meal)	Donno_So	ɲâ:	ɲ aː ˥˩	DB,LJ
252	eat (meal)	Donno_So	ɲɛ́-ɛ̀	ɲ ɛ ˦ ɛ ˨	DB,LJ
253	egg	Donno_So	tálù	t a ˦ l u ˨	DB,LJ
254	eight	Donno_So	gágàrà	ɡ a ˦ ɡ a ˨ r a ˨	DB,LJ
255	eighty (archaic)	Dogul_Dom	sǐŋ	s i ˩˥ ŋ	DB,LJ
256	eighty (archaic)	Donno_So	kɛ̀:-sǔŋ	k ɛː ˨ s u ˩˥ ŋ	DB,LJ
257	even if...	Donno_So	=yo lò	j o # l o ˨	DB,LJ
258	even if...	Donno_So	hállù	h a ˦ l l u ˨	DB,LJ
259	even...	Donno_So	lè	l e ˨	DB,LJ
260	even...	Donno_So	hállù	h a ˦ l l u ˨	DB,LJ
261	exist, there is/are	Donno_So	yɔ́=ɔ̀	j ɔ ˦ ɔ ˨	DB
262	eye	Donno_So	gìrú	ɡ i ˨ r u ˦	DB
263	eye	Donno_So	gìr-î:	ɡ i ˨ r iː ˥˩	DB
264	fall	Donno_So	nùmbó	n u ˨ m b o ˦	DB
265	fall	Donno_So	númb-è	n u ˦ m b e ˨	DB
266	far, distant	Donno_So	wàgú	w a ˨ ɡ u ˦	DB
267	feather	Donno_So	kèŋgèlé	k e ˨ ŋ ɡ e ˨ l e ˦	DB
268	female breast	Donno_So	írù	i ˦ r u ˨	DB
269	finger	Donno_So	nùmɔ̀-sǎy	n u ˨ m ɔ ˨ s a ˩˥ j	DB
270	fingernail, toenail	Donno_So	kòmbìlî:	k o ˨ m b i ˨ l iː ˥˩	DB
271	fire	Donno_So	ɲa᷈ŋ	ɲ a ˧˦˧ ŋ	DB
272	firewood	Donno_So	tìnú	t i ˨ n u ˦	DB
273	first (adj)	Donno_So	nâ:ŋ	n aː ˥˩ ŋ	DB
274	first (adj)	Donno_So	kɛ̌:	k ɛː ˩˥	DB
275	five	Donno_So	ǹnɔ́	n ˨ n ɔ ˦	DB
276	flower (of tree or herb)	Donno_So	pùyó	p u ˨ j o ˦	DB
277	fonio (cultivated grain, Digitaria exilis)	Dogul_Dom	pɔ̀ŋɔ́	p ɔ ˨ ŋ ɔ ˦	DB
278	fonio (cultivated grain, Digitaria exilis)	Donno_So	pɔ̀ŋɔ́	p ɔ ˨ ŋ ɔ ˦	DB
279	foot	Donno_So	kúbɔ̀	k u ˦ b ɔ ˨	DB
280	four	Donno_So	nǎ:y	n aː ˩˥ j	DB
281	fruit (of plant)	Donno_So	î:	iː ˥˩	DB
282	full (container)	Tebul_Ure	bá	b a ˦	DB
283	full (container)	Tebul_Ure	bá	b a ˦	DB
284	full (container)	Dogul_Dom	jô:	dʒ oː ˥˩	DB
285	full (container)	Donno_So	jù-á:-dɛ̀	dʒ u ˨ aː ˦ d ɛ ˨	DB
286	garlic	Donno_So	lǎy	l a ˩˥ j	DB
287	give	Donno_So	óbò	o ˦ b o ˨	DB
288	give	Donno_So	ób-ì	o ˦ b i ˨	DB
289	go	Tomo_Kan_Diangassagou	yè:	j eː ˨	DB
290	go	Donno_So	bòló	b o ˨ l o ˦	DB
291	go	Donno_So	ból-ì	b o ˦ l i ˨	DB
292	go into hiding, hide (oneself)	Tebul_Ure	bànj-í:	b a ˨ n dʒ iː ˦	DB
293	go into hiding, hide (oneself)	Dogul_Dom	jɔ̀y-yɛ́	dʒ ɔ ˨ j j ɛ ˦	DB
294	go into hiding, hide (oneself)	Donno_So	jɔ̀yy-ɛ́:-	dʒ ɔ ˨ j j ɛː ˦	DB
295	go into hiding, hide (oneself)	Donno_So	jɔ́yy-ì-ỳ	dʒ ɔ ˦ j j i ˨ j ˨	DB
296	go to sleep, fall asleep, sleep	Donno_So	gìrî: yéyy-è:	ɡ i ˨ r iː ˥˩ # j e ˦ j j eː ˨	DB
297	go up, rise	Donno_So	dàmbá	d a ˨ m b a ˦	DB
298	go up, rise	Donno_So	dámb-ì	d a ˦ m b i ˨	DB
299	goat	Donno_So	ɛ̀nɛ́	ɛ ˨ n ɛ ˦	DB
300	good	Tebul_Ure	sɛ́	s ɛ ˦	DB
301	good	Tebul_Ure	sɛ́-ŋgɛ̀	s ɛ ˦ ŋ ɡ ɛ ˨	DB
302	good	Tebul_Ure	sɛ́-mbɔ̀	s ɛ ˦ m b ɔ ˨	DB
303	good	Tebul_Ure	ɛ́dɛ̀:	ɛ ˦ d ɛː ˨	DB
304	good	Tebul_Ure	ɛ́dù-ŋgɔ̀	ɛ ˦ d u ˨ ŋ ɡ ɔ ˨	DB
305	good	Tebul_Ure	ɛ́dù-mbɔ̀	ɛ ˦ d u ˨ m b ɔ ˨	DB
306	good	Donno_So	sê:ⁿ	s eː ˥˩ ⁿ	DB
307	grass, herbs	Donno_So	bèlé	b e ˨ l e ˦	DB
308	green	Tebul_Ure	wɛ́rɛ̀:	w ɛ ˦ r ɛː ˨	DB
309	green	Tebul_Ure	wɛ́r-gɔ̀	w ɛ ˦ r ɡ ɔ ˨	DB
310	green	Donno_So	wɛ́rù	w ɛ ˦ r u ˨	DB
311	grind up, crush well (e.g. millet grains, for millet cakes) with grindstones	Dogul_Dom	nàmé	n a ˨ m e ˦	DB
312	grind up, crush well (e.g. millet grains, for millet cakes) with grindstones	Donno_So	nàmá	n a ˨ m a ˦	DB
313	grind up, crush well (e.g. millet grains, for millet cakes) with grindstones	Donno_So	nám-ì	n a ˦ m i ˨	DB
314	hair	Donno_So	kèŋgèlé	k e ˨ ŋ ɡ e ˨ l e ˦	DB
